Date,Price,Open,High,Low,Vol.,Change %,investing.com
1/2/1990,404.50,404.50,404.50,404.50,,-0.76%,
1/3/1990,398.70,402.50,402.50,397.00,0.02K,-1.43%,
1/4/1990,403.20,403.20,403.20,403.20,0.00K,1.13%,
1/5/1990,410.90,410.90,410.90,410.90,,1.91%,
1/8/1990,407.20,407.20,407.20,407.20,0.02K,-0.90%,
1/9/1990,408.40,408.40,408.40,408.40,0.00K,0.29%,
1/10/1990,416.50,417.80,417.80,416.50,0.00K,1.98%,
1/11/1990,418.00,418.00,418.00,418.00,0.01K,0.36%,
1/12/1990,417.20,417.20,417.20,417.20,0.03K,-0.19%,
1/15/1990,417.70,417.70,417.70,417.70,0.02K,0.12%,
1/16/1990,414.70,414.70,414.70,414.70,0.08K,-0.72%,
1/17/1990,416.20,416.20,416.20,416.20,0.00K,0.36%,
1/18/1990,413.70,413.70,413.70,413.70,0.01K,-0.60%,
1/19/1990,413.40,413.00,413.40,413.00,0.01K,-0.07%,
1/22/1990,410.50,410.50,410.50,410.50,0.01K,-0.70%,
1/23/1990,416.30,416.30,416.30,416.30,0.00K,1.41%,
1/24/1990,420.40,420.40,420.40,420.40,0.13K,0.98%,
1/25/1990,418.90,418.90,418.90,418.90,0.00K,-0.36%,
1/26/1990,423.00,423.00,423.00,423.00,0.01K,0.98%,
1/29/1990,422.00,422.00,422.00,422.00,0.02K,-0.24%,
1/30/1990,423.90,424.30,427.00,422.70,44.34K,0.45%,
1/31/1990,417.80,420.50,422.00,417.00,56.60K,-1.44%,
2/1/1990,423.30,418.70,423.50,418.70,40.16K,1.32%,
2/2/1990,423.40,423.30,424.30,421.30,30.78K,0.02%,
2/5/1990,427.50,425.00,430.30,424.80,50.20K,0.97%,
2/6/1990,426.40,426.60,427.40,425.40,29.32K,-0.26%,
2/7/1990,423.10,425.50,429.70,422.20,60.69K,-0.77%,
2/8/1990,423.50,422.70,424.70,421.20,36.38K,0.09%,
2/9/1990,420.60,422.50,423.80,419.50,47.13K,-0.68%,
2/12/1990,423.60,420.00,424.90,419.30,41.83K,0.71%,
2/13/1990,422.00,424.30,425.80,421.20,40.14K,-0.38%,
2/14/1990,420.70,419.50,421.30,417.50,47.66K,-0.31%,
2/15/1990,416.20,421.00,422.00,415.50,48.72K,-1.07%,
2/16/1990,420.80,418.20,421.50,416.30,57.12K,1.11%,
2/20/1990,423.60,422.20,424.70,421.30,35.47K,0.67%,
2/21/1990,421.60,424.70,426.40,421.20,45.87K,-0.47%,
2/22/1990,419.00,421.00,422.40,418.10,37.96K,-0.62%,
2/23/1990,418.20,417.50,421.10,417.50,36.12K,-0.19%,
2/26/1990,411.80,415.50,416.00,409.60,55.11K,-1.53%,
2/27/1990,416.60,417.50,418.00,415.30,3.22K,1.17%,
2/28/1990,411.80,411.80,411.80,411.80,0.00K,-1.15%,
3/1/1990,411.90,411.90,411.90,411.90,0.01K,0.02%,
3/2/1990,408.40,408.40,408.40,408.40,0.00K,-0.85%,
3/5/1990,409.40,409.40,409.40,409.40,0.01K,0.24%,
3/6/1990,408.90,408.90,408.90,408.90,0.00K,-0.12%,
3/7/1990,405.10,405.10,405.10,405.10,0.00K,-0.93%,
3/8/1990,404.70,404.70,404.70,404.70,,-0.10%,
3/9/1990,404.40,404.40,404.40,404.40,,-0.07%,
3/12/1990,403.90,403.90,403.90,403.90,0.01K,-0.12%,
3/13/1990,403.50,403.50,403.50,403.50,0.00K,-0.10%,
3/14/1990,402.30,402.30,402.30,402.30,0.00K,-0.30%,
3/15/1990,402.30,402.30,402.30,402.30,0.00K,0.00%,
