Date,Close,High,Low,Open,Adj Close,Volume
5/26/2000,45.71875,45.71875,45.3125,45.53125,33.398788,74800
5/30/2000,47.40625,47.40625,46.375,46.375,34.63155,57600
5/31/2000,47.578125,48.1875,47.5625,47.5625,34.757103,36000
6/1/2000,48.65625,48.65625,48.554688,48.554688,35.544697,7000
6/2/2000,51.1875,51.1875,50.859375,50.859375,37.393864,29400
6/5/2000,51,51.5625,50.9375,51.0625,37.256866,48400
6/6/2000,51.5,52.40625,51.34375,51.804688,37.622131,151800
6/7/2000,51.5625,51.5625,50.71875,51.1875,37.667789,131000
6/8/2000,51.4375,52.125,51.4375,52.125,37.576477,91400
6/9/2000,52.34375,52.34375,51.90625,51.9375,38.238525,41600
6/12/2000,50.789063,52.5,50.75,52.5,37.102768,85200
6/13/2000,51.4375,51.4375,50.1875,50.664063,37.576477,168200
6/14/2000,51.1875,51.859375,51.1875,51.859375,37.393864,43200
6/15/2000,51.25,51.25,50.382813,50.875,37.43951,26800
6/16/2000,50.96875,51.5,50.96875,51.46875,37.234062,30200
6/19/2000,52.25,52.25,51.015625,51.25,38.170036,59200
6/20/2000,52.59375,52.671875,52.125,52.328125,38.421162,47000
6/21/2000,52.84375,52.9375,52.125,52.125,38.625824,66800
6/22/2000,51.25,53,51.25,53,37.460884,139600
6/23/2000,50.90625,51.75,50.5,51.75,37.209621,235800
6/26/2000,51.53125,51.53125,50.875,51.109375,37.666451,93600
6/27/2000,50.71875,52.0625,50.71875,51.609375,37.072556,112800
6/28/2000,52,52.1875,50.9375,50.9375,38.009075,170600
6/29/2000,51.1875,51.84375,51.03125,51.75,37.415203,212200
6/30/2000,51.679688,51.679688,50.796875,51.21875,37.774937,1171800
7/3/2000,52.40625,52.40625,51.5,51.5625,38.306034,15800
7/5/2000,51.8125,52.125,51.632813,52.109375,37.872032,138800
7/6/2000,52.421875,52.421875,51.34375,51.828125,38.317448,154600
7/7/2000,52.75,52.953125,52.429688,52.429688,38.557285,71800
7/10/2000,53.09375,53.28125,52.71875,52.71875,38.808559,44800
7/11/2000,53.03125,53.296875,52.84375,53,38.762863,253200
7/12/2000,54.09375,54.09375,53.25,53.3125,39.539497,45200
7/13/2000,54.265625,54.265625,54,54.140625,39.665119,102600
7/14/2000,54.3125,54.546875,53.875,54.546875,39.699394,54800
7/17/2000,54.5,54.59375,54.21875,54.359375,39.836449,46600
7/18/2000,53.5625,54.140625,53.5625,54.140625,39.15118,235400
7/19/2000,52.625,53.390625,52.625,53.390625,38.465927,35400
7/20/2000,53.5,53.5,53.125,53.125,39.105492,150400
7/21/2000,52.03125,53.1875,52.03125,53.1875,38.031952,150600
7/24/2000,51.273438,52.3125,51.164063,52.3125,37.478004,37000
7/25/2000,51.375,51.679688,51.0625,51.679688,37.552242,36800
7/26/2000,51.28125,51.28125,50.46875,51,37.483734,15800
7/27/2000,49.875,51.179688,49.875,51.179688,36.455818,275000
7/28/2000,49,50.164063,48.875,50.164063,35.816246,171600
7/31/2000,50.25,50.25,48.6875,49.25,36.729931,166400
8/1/2000,49.921875,50.0625,49.640625,49.875,36.490082,263400
8/2/2000,50,50.28125,49.5,49.625,36.547199,388600
8/3/2000,49.96875,50.0625,49.03125,49.03125,36.524364,1084200
8/4/2000,50.21875,50.578125,49.921875,50.5625,36.707104,570400
8/7/2000,51.148438,51.148438,50.40625,50.40625,37.386642,88200
8/8/2000,50.90625,51.15625,50.90625,51,37.209621,49600
8/9/2000,50.539063,51.28125,50.539063,51.28125,36.941216,23000
8/10/2000,50.25,50.59375,50.09375,50.546875,36.729931,43000
8/11/2000,51.125,51.125,49.75,49.75,37.369499,176000
8/14/2000,51.65625,51.65625,50.9375,50.96875,37.757839,56800
8/15/2000,50.90625,51.625,50.90625,51.546875,37.209621,189200
8/16/2000,51.15625,51.53125,50.9375,51.125,37.392353,219400
8/17/2000,51.625,51.84375,51.21875,51.34375,37.734985,358800
8/18/2000,51.546875,51.9375,51.4375,51.8125,37.677876,52200
8/21/2000,51.734375,51.921875,51.40625,51.875,37.814934,129200
8/22/2000,51.65625,52.09375,51.65625,51.765625,37.757839,195600
8/23/2000,51.578125,51.75,51.375,51.59375,37.700726,153000
8/24/2000,52.34375,52.625,51.859375,51.859375,38.260361,276200
8/25/2000,52.5625,52.6875,52.21875,52.375,38.420231,208600
8/28/2000,52.65625,53.125,52.5625,52.8125,38.488762,156000
8/29/2000,53.15625,53.15625,52.625,52.78125,38.854248,140200
8/30/2000,53.21875,53.40625,52.921875,53.109375,38.899929,619000
8/31/2000,53.75,54.15625,53.40625,53.40625,39.288239,151200
9/1/2000,54.1875,54.28125,53.742188,54,39.608013,186800
9/5/2000,53.8125,54.28125,53.8125,54.117188,39.333939,110400
9/6/2000,53.578125,54.0625,53.5,54.0625,39.162609,217800
9/7/2000,54.375,54.40625,53.8125,53.8125,39.745079,213800
9/8/2000,53.4375,54.21875,53.4375,54.101563,39.059803,128600
9/11/2000,53.5,53.914063,53.3125,53.710938,39.105492,314600
9/12/2000,53.328125,53.8125,53.25,53.8125,38.979862,93000
9/13/2000,53.59375,53.6875,53.09375,53.09375,39.174034,81200
9/14/2000,53.90625,54.109375,53.585938,53.828125,39.402439,114000
9/15/2000,52.90625,53.6875,52.8125,53.625,38.671501,67000
9/18/2000,51.65625,53.140625,51.507813,53.140625,37.757839,201400
9/19/2000,52.5,52.71875,51.632813,51.984375,38.37455,54800
9/20/2000,51.90625,52.3125,51.625,52.3125,38.069633,40400
9/21/2000,50.9375,52,50.9375,52,37.359123,207400
9/22/2000,51.59375,51.59375,50,50,37.840431,127600
9/25/2000,51.65625,52.179688,51.625,52.179688,37.88628,113800
9/26/2000,50.921875,51.625,50.65625,51.625,37.347672,65200
9/27/2000,50.6875,51.40625,50.5,51.15625,37.175774,43600
9/28/2000,52.0625,52.15625,50.78125,50.8125,38.184208,121000
9/29/2000,51.8125,52.195313,51.8125,52.015625,38.000874,130400
10/2/2000,50.96875,52.203125,50.96875,52.203125,37.38205,169600
10/3/2000,50.226563,51.585938,50.226563,51.585938,36.837704,151000
10/4/2000,50.578125,50.578125,49.8125,50.453125,37.095543,99800
10/5/2000,50.0625,50.8125,50.03125,50.625,36.717381,408800
10/6/2000,48.84375,50.15625,48.78125,50.15625,35.823505,185600
10/9/2000,48.734375,48.875,48.3125,48.875,35.743267,361800
10/10/2000,47.5625,49.054688,47.5625,48.796875,34.883793,420400
10/11/2000,47.40625,47.8125,47,47.71875,34.769207,168200
10/12/2000,45.96875,47.84375,45.96875,47.84375,33.714886,161400
10/13/2000,47.75,48.140625,46.0625,46.09375,35.021317,378800
10/16/2000,48.125,48.53125,47.71875,48,35.296356,1098000
10/17/2000,46.914063,48.257813,46.570313,48.125,34.408215,265800
10/18/2000,46.53125,46.8125,45.625,45.820313,34.127445,343600
10/19/2000,47.96875,48.09375,47.28125,47.28125,35.181755,150600
10/20/2000,48.578125,49.03125,48.320313,48.34375,35.628689,264800
10/23/2000,49.0625,49.125,48.664063,48.84375,35.983944,143200
10/24/2000,48.34375,49.53125,48.34375,49.21875,35.456806,73800
10/25/2000,47.265625,48.5,47.265625,48.25,34.666054,33000
10/26/2000,48,48,46.84375,47.710938,35.204666,105800
10/27/2000,48.03125,48.25,47.625,47.625,35.227596,138800
10/30/2000,48.25,48.53125,47.53125,47.9375,35.388004,73600
10/31/2000,49.5,49.679688,48.4375,48.4375,36.304829,285000
11/1/2000,49.53125,49.71875,49.28125,49.34375,36.327751,528200
11/2/2000,50.71875,50.8125,49.875,49.890625,37.198669,211800
11/3/2000,50.65625,50.8125,50.375,50.796875,37.152847,224200
11/6/2000,50.265625,51.09375,50.21875,51.09375,36.866356,68200
11/7/2000,50.6875,50.6875,50.0625,50.296875,37.175774,79400
11/8/2000,49.78125,50.75,49.78125,50.71875,36.511097,192600
11/9/2000,49.25,49.6875,48.53125,49.375,36.121441,249000
11/10/2000,48,49.375,48,49.375,35.204666,189000
11/13/2000,47.515625,47.890625,46.3125,47.5,34.849419,160800
11/14/2000,48.65625,48.8125,48.375,48.4375,35.685974,129600
