Date,Close,High,Low,Open,Adj Close,Volume
3/18/1996,60.25,60.25,60,60,41.369591,16300
3/19/1996,60,60,60,60,41.197933,2500
3/20/1996,60,60,60,60,41.197933,4350
3/21/1996,61.5,61.5,60.5,60.5,42.227882,18300
3/22/1996,61.25,61.5,61,61,42.05624,19825
3/25/1996,61.75,62,61.25,62,42.399555,65275
3/26/1996,61.75,62,61.5,61.75,42.399555,94075
3/27/1996,62.25,62.5,62,62.25,42.742855,24000
3/28/1996,62.25,62.5,62,62,42.742855,102575
3/29/1996,62.75,63,62.5,62.5,43.086185,254525
4/1/1996,62.75,63,62.75,63,43.086185,80875
4/2/1996,63.25,63.25,63,63,43.429489,6100
4/3/1996,62.75,63,62.5,63,43.086185,25775
4/4/1996,63,63,62.75,62.75,43.257839,25450
4/8/1996,62,62.5,62,62.5,42.571209,15525
4/9/1996,63,63,62.5,62.75,43.257839,276600
4/10/1996,62.5,63,62.5,62.75,42.914524,71350
4/11/1996,62.5,62.75,62.5,62.5,42.914524,1300
4/12/1996,62.75,62.75,62.5,62.5,43.086185,450
4/15/1996,63,63,62.75,62.75,43.257839,131250
4/16/1996,63,63.25,62.75,62.75,43.257839,60900
4/17/1996,62.75,62.75,62.5,62.75,43.086185,18300
4/18/1996,63,63.25,62.75,63,43.257839,21350
4/19/1996,63.75,64,63.5,63.5,43.77282,9750
4/22/1996,65.75,65.75,64.5,64.5,45.146072,35500
4/23/1996,65.25,65.25,65,65,44.802761,11975
4/24/1996,66,66,65.25,65.25,45.317734,260600
4/25/1996,65.75,66,65.5,65.5,45.146072,6550
4/26/1996,66,66.25,65.5,66.25,45.317734,7600
4/29/1996,65.5,66.25,65.5,66,44.974422,10700
4/30/1996,65.75,65.75,65.5,65.75,45.146072,10425
5/1/1996,65.75,65.75,65,65,45.146072,7175
5/2/1996,65,65.25,64.5,64.5,44.631096,15300
5/3/1996,65,65,64.75,65,44.631096,13475
5/6/1996,64.75,65.25,64.5,65,44.459435,44525
