Date,Close,High,Low,Open,Adj Close,Volume
7/31/2000,39.25,39.25,38.71875,38.71875,21.89319,2600
8/1/2000,38.9375,38.96875,38.9375,38.96875,21.718872,400
8/2/2000,38.4375,38.4375,38.40625,38.40625,21.43998,4600
8/3/2000,37.1875,37.1875,37.1875,37.1875,20.742743,800
8/4/2000,37.84375,38.125,37.78125,38.125,21.108795,80600
8/7/2000,38.125,38.1875,38.125,38.1875,21.265673,43800
8/8/2000,38.09375,38.09375,38,38,21.248238,800
8/9/2000,38.125,38.21875,38.125,38.21875,21.265673,20200
8/10/2000,38.71875,38.78125,38.71875,38.78125,21.596857,2600
8/11/2000,38.59375,38.84375,38.59375,38.84375,21.527134,30200
8/14/2000,38.59375,38.59375,38.59375,38.59375,21.527134,0
8/15/2000,39.34375,39.375,39.3125,39.375,21.94548,76000
8/16/2000,39.4375,39.59375,39.375,39.375,21.997766,1000
8/17/2000,39.28125,39.46875,39.25,39.3125,21.910616,48000
8/18/2000,38.75,38.90625,38.75,38.84375,21.614294,2400
8/21/2000,38.375,38.625,38.375,38.625,21.405119,20800
8/22/2000,38.1875,38.1875,38.1875,38.1875,21.300537,16400
8/23/2000,37.875,37.875,37.875,37.875,21.126226,2000
8/24/2000,38.15625,38.4375,38.15625,38.4375,21.283104,45600
8/25/2000,38.75,38.75,38.5625,38.5625,21.614294,40400
8/28/2000,38.59375,38.625,38.5625,38.625,21.527134,6600
8/29/2000,38.375,38.5625,38.1875,38.1875,21.405119,53800
8/30/2000,38.25,38.375,38.1875,38.375,21.335396,11400
8/31/2000,38.125,38.125,37.9375,37.9375,21.265673,600
9/1/2000,38.125,38.125,38.125,38.125,21.265673,0
9/5/2000,39.03125,39.03125,39.03125,39.03125,21.771175,200
9/6/2000,38.0625,38.5,38.0625,38.5,21.230816,1200
9/7/2000,38.375,38.40625,38.375,38.40625,21.405119,9200
9/8/2000,37.6875,37.75,37.6875,37.75,21.021641,600
9/11/2000,37.0625,37.25,37.0625,37.25,20.673019,800
9/12/2000,37.65625,37.65625,37.59375,37.59375,21.004213,9200
9/13/2000,36.9375,36.96875,36.65625,36.65625,20.603302,1600
9/14/2000,37,37.3125,37,37.3125,20.638157,23400
9/15/2000,37,37,37,37,20.638157,0
9/18/2000,35.90625,36.375,35.90625,36.3125,20.028084,5400
9/19/2000,35.875,35.96875,35.84375,35.875,20.010647,5400
9/20/2000,35.3125,35.875,35.25,35.875,19.696892,4200
9/21/2000,35,35.09375,34.8125,34.84375,19.522585,6200
9/22/2000,35.9375,36.0625,35.53125,35.5625,20.045515,18000
9/25/2000,36.125,36.34375,35.9375,36.3125,20.150103,15000
9/26/2000,36.09375,36.25,36.0625,36.125,20.132668,14000
9/27/2000,36.25,36.5625,36.0625,36.53125,20.219824,33800
9/28/2000,36.3125,36.375,36.125,36.21875,20.254686,55600
9/29/2000,36.0625,36.0625,35.96875,36,20.115232,14200
10/2/2000,36.40625,36.4375,36.21875,36.3125,20.306971,16200
10/3/2000,36.75,36.78125,36.5625,36.78125,20.498718,21800
10/4/2000,36.1875,36.1875,35.875,36.1875,20.184959,3800
10/5/2000,36.09375,36.15625,35.9375,36.15625,20.132668,6400
10/6/2000,35.3125,35.625,35.3125,35.625,19.696892,1400
10/9/2000,35,35.125,35,35.125,19.522585,1600
10/10/2000,34.90625,35,34.90625,35,19.470295,1400
10/11/2000,34.375,34.375,34.1875,34.25,19.173967,22600
10/12/2000,33.875,34.28125,33.75,34.28125,18.895071,39200
10/13/2000,34.125,34.125,33.46875,33.46875,19.034515,4000
10/16/2000,33.90625,33.90625,33.71875,33.71875,18.912504,40200
10/17/2000,33.8125,33.8125,33.8125,33.8125,18.86021,1400
10/18/2000,32.71875,32.9375,32.40625,32.625,18.250132,18000
10/19/2000,33.84375,33.84375,33.5625,33.6875,18.877645,3200
10/20/2000,34,34,33.6875,33.6875,18.964792,3000
10/23/2000,33.75,33.75,33.75,33.75,18.82535,2000
10/24/2000,34.4375,34.4375,34.4375,34.4375,19.208826,400
10/25/2000,33.96875,34.25,33.96875,34.0625,18.947365,4600
10/26/2000,34.15625,34.15625,33.875,33.96875,19.051952,12200
10/27/2000,34.875,34.90625,34.625,34.65625,19.452864,29400
10/30/2000,34.96875,35,34.90625,34.90625,19.505152,2000
10/31/2000,35.9375,35.9375,35.6875,35.6875,20.045515,2000
11/1/2000,36,36.25,35.8125,35.8125,20.080378,105600
11/2/2000,36.46875,36.46875,36.15625,36.4375,20.341837,30400
11/3/2000,36.5,36.65625,36.5,36.59375,20.359268,8400
11/6/2000,36.71875,36.8125,36.25,36.8125,20.481283,40800
11/7/2000,36.3125,36.3125,36.28125,36.3125,20.254686,1400
11/8/2000,35.875,36.25,35.6875,36.25,20.010647,11800
11/9/2000,36.1875,36.1875,35.5,36,20.184959,4600
11/10/2000,35.34375,35.5,35.0625,35.4375,19.714325,35400
11/13/2000,34.6875,34.78125,34.59375,34.78125,19.34828,5000
11/14/2000,35.78125,35.78125,35.21875,35.375,19.958359,30600
11/15/2000,35.59375,35.96875,35.5625,35.625,19.853777,29800
11/16/2000,35.59375,35.59375,35.59375,35.59375,19.853777,0
11/17/2000,35,35.34375,34.96875,35.34375,19.522585,7200
11/20/2000,34,34.375,34,34.375,18.964792,4400
11/21/2000,34.21875,34.375,34.21875,34.3125,19.086811,14000
11/22/2000,33.8125,33.8125,33.25,33.25,18.86021,12000
11/24/2000,34.375,34.4375,34.28125,34.28125,19.173967,10600
11/27/2000,34.84375,34.84375,34.75,34.8125,19.435427,169000
11/28/2000,35,35.0625,34.65625,34.6875,19.522585,360600
11/29/2000,35,35.125,34.875,34.9375,19.522585,56000
11/30/2000,34.84375,34.96875,34.53125,34.84375,19.435427,16600
12/1/2000,34.875,35.28125,34.8125,35.125,19.452864,143600
12/4/2000,34.96875,35.0625,34.875,35.0625,19.505152,24200
12/5/2000,35.75,35.75,35.40625,35.40625,19.940929,12000
12/6/2000,35.6875,35.90625,35.53125,35.53125,19.906071,56400
12/7/2000,35.90625,35.9375,35.5625,35.78125,20.028084,250200
12/8/2000,35.75,36.34375,35.6875,36.3125,19.940929,195400
12/11/2000,36.1875,36.21875,36,36.1875,20.184959,61200
12/12/2000,36.125,36.15625,36,36.09375,20.150103,17200
12/13/2000,35.625,35.6875,35.4375,35.6875,19.871204,18200
12/14/2000,35.25,35.4375,35.21875,35.28125,19.662033,78200
12/15/2000,35,35.1875,34.84375,35.1875,19.522585,25000
12/18/2000,34.8125,35.3125,34.8125,35.25,19.418003,10000
12/19/2000,35.25,35.59375,34.96875,34.96875,19.662033,19200
12/20/2000,34.75,34.90625,34.71875,34.8125,19.385059,5400
12/21/2000,35,35.03125,34.59375,34.78125,19.524523,41000
12/22/2000,35.53125,35.59375,35.21875,35.5,19.820877,60800
12/26/2000,35.75,35.75,35.375,35.375,19.942907,9000
12/27/2000,36.21875,36.21875,35.59375,35.625,20.20439,42200
12/28/2000,36.25,36.3125,36.09375,36.25,20.22183,24400
12/29/2000,36.625,36.78125,36.25,36.78125,20.431021,178800
1/2/2001,36.5,36.78125,36.25,36.78125,20.361288,27800
1/3/2001,37.75,37.75,35.625,35.6875,21.058596,43800
1/4/2001,36.21875,36.8125,36,36.8125,20.20439,338400
1/5/2001,36.9375,37.15625,36.9375,37.15625,20.605347,5400
1/8/2001,36.5,36.75,36.5,36.5,20.361288,31000
1/9/2001,35.8125,36.09375,35.71875,36,19.977774,14600
1/10/2001,35.71875,35.75,35.46875,35.625,19.925474,95600
1/11/2001,36.84375,36.84375,36.09375,36.09375,20.553049,31600
