Ex/EFF Date,Type,Cash Amount,Declaration Date,Record Date,Payment Date
12/20/2023,Cash,0.35,12/19/2023,12/21/2023,12/27/2023
6/7/2023,Cash,0.86,6/6/2023,6/8/2023,6/13/2023
12/13/2022,Cash,0.17,12/12/2022,12/14/2022,12/19/2022
6/9/2022,Cash,0.93,6/8/2022,6/10/2022,6/15/2022
12/30/2021,Cash,0.12,12/29/2021,12/31/2021,1/5/2022
12/13/2021,Cash,0.60,12/10/2021,12/14/2021,12/17/2021
6/10/2021,Cash,0.48,6/9/2021,6/11/2021,6/16/2021
12/14/2020,Cash,0.62,12/11/2020,12/15/2020,12/18/2020
6/15/2020,Cash,0.32,6/12/2020,6/16/2020,6/19/2020
12/16/2019,Cash,0.17,12/13/2019,12/17/2019,12/20/2019
6/17/2019,Cash,1.02,6/14/2019,6/18/2019,6/21/2019
12/18/2018,Cash,0.19,12/17/2018,12/19/2018,12/24/2018
6/19/2018,Cash,1.03,6/18/2018,6/20/2018,6/25/2018
12/19/2017,Cash,0.19,12/18/2017,12/20/2017,12/26/2017
6/20/2017,Cash,0.64,6/19/2017,6/22/2017,6/26/2017
12/21/2016,Cash,0.22,12/20/2016,12/23/2016,12/28/2016
6/22/2016,Cash,0.84,6/21/2016,6/24/2016,6/28/2016
12/21/2015,Cash,0.08,12/18/2015,12/23/2015,12/28/2015
6/25/2015,Cash,0.69,6/24/2015,6/29/2015,7/1/2015
12/17/2014,Cash,0.26,12/16/2014,12/19/2014,12/24/2014
6/25/2014,Cash,0.82,6/24/2014,6/27/2014,7/2/2014
12/18/2013,Cash,0.13,12/17/2013,12/20/2013,12/30/2013
6/27/2013,Cash,0.80,6/26/2013,7/1/2013,7/5/2013
12/27/2012,Cash,0.01,12/26/2012,12/31/2012,1/3/2013
12/18/2012,Cash,0.11,12/17/2012,12/20/2012,12/27/2012
6/21/2012,Cash,0.79,6/20/2012,6/25/2012,6/28/2012
12/20/2011,Cash,0.31,12/19/2011,12/22/2011,12/29/2011
6/22/2011,Cash,0.86,6/21/2011,6/24/2011,6/28/2011
12/21/2010,Cash,0.28,12/20/2010,12/23/2010,12/30/2010
6/23/2010,Cash,0.64,6/22/2010,6/25/2010,6/29/2010
12/22/2009,Cash,0.30,12/21/2009,12/24/2009,12/31/2009
6/23/2009,Cash,0.75,6/22/2009,6/25/2009,6/29/2009
12/23/2008,Cash,0.54,12/22/2008,12/26/2008,12/31/2008
6/25/2008,Cash,3.63,,6/27/2008,6/30/2008
12/20/2007,Cash,2.96,,12/24/2007,1/2/2008
12/20/2007,Cash,2.96,,12/24/2007,1/2/2008
12/20/2006,Cash,1.85,,12/22/2006,12/29/2006
12/20/2006,Cash,1.85,,12/22/2006,12/29/2006
12/23/2005,Cash,1.32,,12/28/2005,12/30/2005
12/23/2004,Cash,1.30,,12/28/2004,12/30/2004
12/22/2003,Cash,0.79,,12/24/2003,1/2/2004
12/23/2002,Cash,0.45,,12/26/2002,1/2/2003
8/24/2001,Cash,0.67,,8/28/2001,8/31/2001
12/20/2000,Cash,0.01,12/8/2000,12/22/2000,12/28/2000
