Ex/EFF Date,Type,Cash Amount,Declaration Date,Record Date,Payment Date
3/21/2024,Cash,0.52,11/24/2023,3/22/2024,3/27/2024
12/20/2023,Cash,0.73,11/25/2022,12/21/2023,12/27/2023
9/26/2023,Cash,0.83,11/25/2022,9/27/2023,10/2/2023
6/7/2023,Cash,0.51,11/25/2022,6/8/2023,6/13/2023
3/23/2023,Cash,0.63,3/22/2023,3/24/2023,3/29/2023
12/13/2022,Cash,0.83,12/16/2021,12/14/2022,12/19/2022
9/26/2022,Cash,0.86,12/16/2021,9/27/2022,9/30/2022
6/9/2022,Cash,0.49,12/16/2021,6/10/2022,6/15/2022
3/24/2022,Cash,0.40,12/16/2021,3/25/2022,3/30/2022
12/13/2021,Cash,0.67,12/10/2021,12/14/2021,12/17/2021
9/24/2021,Cash,0.68,12/15/2020,9/27/2021,9/30/2021
6/10/2021,Cash,0.35,12/15/2020,6/11/2021,6/16/2021
3/25/2021,Cash,0.40,12/15/2020,3/26/2021,3/31/2021
12/14/2020,Cash,0.59,12/13/2019,12/15/2020,12/18/2020
9/23/2020,Cash,0.57,12/13/2019,9/24/2020,9/29/2020
6/15/2020,Cash,0.47,12/13/2019,6/16/2020,6/19/2020
3/25/2020,Cash,0.42,12/13/2019,3/26/2020,3/31/2020
12/16/2019,Cash,0.60,12/27/2018,12/17/2019,12/20/2019
9/24/2019,Cash,0.54,12/27/2018,9/25/2019,9/30/2019
6/17/2019,Cash,0.53,12/27/2018,6/18/2019,6/21/2019
3/20/2019,Cash,0.41,12/27/2018,3/21/2019,3/26/2019
12/17/2018,Cash,0.47,12/29/2017,12/18/2018,12/21/2018
9/26/2018,Cash,0.45,12/29/2017,9/27/2018,10/2/2018
7/3/2018,Cash,0.60,12/29/2017,7/5/2018,7/10/2018
3/22/2018,Cash,0.36,12/29/2017,3/23/2018,3/28/2018
12/21/2017,Cash,0.58,12/20/2017,12/22/2017,12/28/2017
12/21/2017,Cash,0.58,1/9/2017,12/22/2017,12/28/2017
9/26/2017,Cash,0.35,9/25/2017,9/27/2017,9/29/2017
7/6/2017,Cash,0.61,7/5/2017,7/10/2017,7/12/2017
3/24/2017,Cash,0.39,3/23/2017,3/28/2017,3/30/2017
12/22/2016,Cash,0.56,12/21/2016,12/27/2016,12/29/2016
9/26/2016,Cash,0.34,9/23/2016,9/28/2016,9/30/2016
7/6/2016,Cash,0.62,7/5/2016,7/8/2016,7/12/2016
3/23/2016,Cash,0.33,3/22/2016,3/28/2016,3/30/2016
12/24/2015,Cash,0.50,12/23/2015,12/29/2015,12/31/2015
9/25/2015,Cash,0.32,9/24/2015,9/29/2015,10/1/2015
7/2/2015,Cash,0.53,7/1/2015,7/7/2015,7/9/2015
3/25/2015,Cash,0.38,3/24/2015,3/27/2015,3/31/2015
12/24/2014,Cash,0.45,12/23/2014,12/29/2014,12/31/2014
9/24/2014,Cash,0.30,9/23/2014,9/26/2014,9/30/2014
7/2/2014,Cash,0.46,7/1/2014,7/7/2014,7/9/2014
3/25/2014,Cash,0.30,3/24/2014,3/27/2014,3/31/2014
12/23/2013,Cash,0.44,12/20/2013,12/26/2013,12/30/2013
9/24/2013,Cash,0.28,9/23/2013,9/26/2013,9/30/2013
7/2/2013,Cash,0.43,7/1/2013,7/5/2013,7/9/2013
3/25/2013,Cash,0.26,3/22/2013,3/27/2013,4/1/2013
12/19/2012,Cash,0.73,12/18/2012,12/21/2012,12/26/2012
9/24/2012,Cash,0.33,9/21/2012,9/26/2012,9/28/2012
6/26/2012,Cash,0.38,6/25/2012,6/28/2012,7/2/2012
3/23/2012,Cash,0.25,3/22/2012,3/27/2012,3/29/2012
12/22/2011,Cash,0.36,12/21/2011,12/27/2011,12/29/2011
9/23/2011,Cash,0.25,9/22/2011,9/27/2011,9/29/2011
7/5/2011,Cash,0.25,7/1/2011,7/7/2011,7/11/2011
3/24/2011,Cash,0.17,3/23/2011,3/28/2011,3/30/2011
12/22/2010,Cash,0.36,12/21/2010,12/27/2010,12/29/2010
9/23/2010,Cash,0.17,9/22/2010,9/27/2010,9/29/2010
7/2/2010,Cash,0.20,7/1/2010,7/7/2010,7/9/2010
3/24/2010,Cash,0.17,3/23/2010,3/26/2010,3/30/2010
12/23/2009,Cash,0.25,12/22/2009,12/28/2009,12/30/2009
9/22/2009,Cash,0.15,9/21/2009,9/24/2009,9/28/2009
7/2/2009,Cash,0.18,7/1/2009,7/7/2009,7/9/2009
3/24/2009,Cash,0.14,3/23/2009,3/26/2009,3/30/2009
12/23/2008,Cash,0.36,12/22/2008,12/26/2008,12/30/2008
9/24/2008,Cash,0.15,9/23/2008,9/26/2008,9/30/2008
7/2/2008,Cash,0.26,7/1/2008,7/7/2008,7/9/2008
3/24/2008,Cash,0.11,3/20/2008,3/26/2008,3/28/2008
12/27/2007,Cash,0.27,12/26/2007,12/31/2007,1/3/2008
9/25/2007,Cash,0.19,9/24/2007,9/27/2007,10/1/2007
6/28/2007,Cash,0.16,6/27/2007,7/2/2007,7/5/2007
3/23/2007,Cash,0.15,3/22/2007,3/27/2007,3/29/2007
12/20/2006,Cash,0.33,12/19/2006,12/22/2006,12/27/2006
9/26/2006,Cash,0.23,,9/28/2006,10/2/2006
6/22/2006,Cash,0.11,,6/26/2006,6/28/2006
3/24/2006,Cash,0.17,,3/28/2006,3/30/2006
12/22/2005,Cash,0.26,,12/27/2005,12/29/2005
9/23/2005,Cash,0.20,,9/27/2005,9/29/2005
6/20/2005,Cash,0.15,,6/22/2005,6/24/2005
3/24/2005,Cash,0.55,,3/29/2005,3/31/2005
12/23/2004,Cash,0.41,,12/28/2004,12/30/2004
9/24/2004,Cash,0.26,,9/28/2004,9/30/2004
6/25/2004,Cash,0.30,,6/29/2004,7/1/2004
3/26/2004,Cash,0.21,,3/30/2004,4/1/2004
12/12/2003,Cash,0.37,,12/16/2003,12/23/2003
9/12/2003,Cash,0.24,,9/16/2003,9/23/2003
6/13/2003,Cash,0.15,,6/17/2003,6/24/2003
3/7/2003,Cash,0.16,,3/11/2003,3/18/2003
12/13/2002,Cash,0.38,,12/17/2002,12/23/2002
9/13/2002,Cash,0.26,,9/17/2002,9/24/2002
6/14/2002,Cash,0.24,,6/18/2002,6/25/2002
