Effective date ,Dow Jones U.S. Real Estate Index
1/31/2013,261.09
2/1/2013,262.48
2/2/2013,262.48
2/3/2013,262.48
2/4/2013,261.94
2/5/2013,261.73
2/6/2013,262.26
2/7/2013,261.16
2/8/2013,263.49
2/9/2013,263.49
2/10/2013,263.49
2/11/2013,263.79
2/12/2013,265.33
2/13/2013,265.06
2/14/2013,264.02
2/15/2013,264.41
2/16/2013,264.41
2/17/2013,264.41
2/18/2013,264.41
2/19/2013,265.99
2/20/2013,263.9
2/21/2013,261.54
2/22/2013,264.05
2/23/2013,264.05
2/24/2013,264.05
2/25/2013,259.46
2/26/2013,261.67
2/27/2013,263.88
2/28/2013,263.68
3/1/2013,264.57
3/2/2013,264.57
3/3/2013,264.57
3/4/2013,266.5
3/5/2013,268.51
3/6/2013,267.34
3/7/2013,266.3
3/8/2013,266.49
3/9/2013,266.49
3/10/2013,266.49
3/11/2013,267.13
3/12/2013,266.21
3/13/2013,266.37
3/14/2013,267.94
3/15/2013,267.94
3/16/2013,267.94
3/17/2013,267.94
3/18/2013,266.47
3/19/2013,264.98
3/20/2013,266.4
3/21/2013,265.58
3/22/2013,267.32
3/23/2013,267.32
3/24/2013,267.32
3/25/2013,267.14
3/26/2013,268.88
3/27/2013,268.9
3/28/2013,270.11
3/29/2013,270.11
3/30/2013,270.11
3/31/2013,270.11
4/1/2013,270.57
4/2/2013,271.55
4/3/2013,269.99
4/4/2013,273.95
4/5/2013,274.51
4/6/2013,274.51
4/7/2013,274.51
4/8/2013,277.56
4/9/2013,277.32
4/10/2013,278.97
4/11/2013,280.56
4/12/2013,280.97
4/15/2013,274.87
4/16/2013,279.36
4/17/2013,275.8
4/18/2013,275.66
4/19/2013,279.48
4/22/2013,279.27
4/23/2013,281.07
4/24/2013,281.82
4/25/2013,281.51
4/26/2013,280.37
4/29/2013,282.48
4/30/2013,285.18
5/1/2013,283.09
5/2/2013,284.55
5/3/2013,284.55
5/6/2013,285.83
5/7/2013,287.36
5/8/2013,287.99
5/9/2013,285.94
5/10/2013,286.49
5/13/2013,287.04
5/14/2013,288.42
5/15/2013,290.54
5/16/2013,289.4
5/17/2013,291.47
5/20/2013,291.36
5/21/2013,292.81
5/22/2013,285.67
5/23/2013,281.39
5/24/2013,280.47
5/28/2013,277.55
5/29/2013,272.11
5/30/2013,269.54
5/31/2013,266.11
6/3/2013,266.94
6/4/2013,263.75
6/5/2013,261.09
6/6/2013,265.99
6/7/2013,265.57
6/10/2013,263.13
6/11/2013,259.21
6/12/2013,255.33
6/13/2013,262.73
6/14/2013,263.49
6/17/2013,263.93
6/18/2013,265.03
6/19/2013,256.68
6/20/2013,246.37
6/21/2013,249.52
6/24/2013,247.89
6/25/2013,252.47
6/26/2013,255.35
6/27/2013,259.98
6/28/2013,258.56
7/1/2013,257.41
7/2/2013,260.57
7/3/2013,258.54
7/5/2013,257.06
7/8/2013,257.66
7/9/2013,260.98
7/10/2013,260.97
7/11/2013,268.05
7/12/2013,266.69
7/15/2013,267.19
7/16/2013,266.82
7/17/2013,268.02
7/18/2013,270.08
7/19/2013,269.68
7/22/2013,270.44
7/23/2013,270.2
7/24/2013,264.67
7/25/2013,264.91
7/26/2013,265.16
7/29/2013,263.15
7/30/2013,263.03
7/31/2013,259.09
8/1/2013,257.9
8/2/2013,256.83
8/5/2013,256.43
8/6/2013,255.41
8/7/2013,254.39
8/8/2013,254.78
8/9/2013,257.01
8/12/2013,255.11
8/13/2013,251.23
8/14/2013,250.72
8/15/2013,245.85
8/16/2013,240.28
8/19/2013,236.91
8/20/2013,242.44
8/21/2013,241.91
8/22/2013,243.09
8/23/2013,246.07
8/26/2013,245.34
8/27/2013,244.47
8/28/2013,243.17
8/29/2013,243.72
8/30/2013,242.04
9/3/2013,239.95
9/4/2013,241.65
9/5/2013,239.38
9/6/2013,243.61
9/9/2013,248.52
9/10/2013,248.3
9/11/2013,249.78
9/12/2013,247.9
9/13/2013,248.68
9/16/2013,251.14
9/17/2013,250.82
9/18/2013,259.3
9/19/2013,258.33
9/20/2013,253.74
9/23/2013,252.31
9/24/2013,250.55
9/25/2013,251.62
9/26/2013,252.45
9/27/2013,251.14
9/30/2013,248.62
10/1/2013,252.2
10/2/2013,252.33
10/3/2013,248.36
10/4/2013,247.93
10/7/2013,248.63
10/8/2013,245.78
10/9/2013,245.82
10/10/2013,251.71
10/11/2013,254.17
10/14/2013,253.97
10/15/2013,252.98
10/16/2013,257.8
10/17/2013,262.11
10/18/2013,261.41
10/21/2013,259.98
10/22/2013,262.8
10/23/2013,262.92
10/24/2013,263.24
10/25/2013,265.68
10/28/2013,263.71
10/29/2013,261.57
10/30/2013,259.43
10/31/2013,257.67
11/1/2013,258.99
11/4/2013,259.47
11/5/2013,255.36
11/6/2013,255.5
11/7/2013,251.99
11/8/2013,248.96
11/11/2013,248.83
11/12/2013,247.59
11/13/2013,249.25
11/14/2013,251.29
11/15/2013,251.95
11/18/2013,250.2
11/19/2013,248.25
11/20/2013,246
11/21/2013,247.57
11/22/2013,246.74
11/25/2013,245.6
11/26/2013,244.8
11/27/2013,247.49
11/29/2013,244.93
12/2/2013,243.82
12/3/2013,243.35
12/4/2013,244.16
12/5/2013,244.54
12/6/2013,246.48
12/9/2013,247.95
12/10/2013,247.84
12/11/2013,242.22
12/12/2013,240.55
12/13/2013,241.46
12/16/2013,241.77
12/17/2013,243.02
12/18/2013,247.44
12/19/2013,244
12/20/2013,245.83
12/23/2013,246.32
12/24/2013,246.56
12/26/2013,246.69
12/27/2013,246.02
12/30/2013,246.5
12/31/2013,245.72
