Date,Open,Day Low,Day High,Close,Volume
2/1/1992,103.46,102.14,104.28,103.56,0
3/1/1992,102.77,97.91,103.09,98.11,0
4/1/1992,96.97,92.2,98.52,97.59,0
5/1/1992,97.81,97.81,100.31,99.93,0
6/1/1992,100.59,95.71,101.15,96.79,0
7/1/1992,96.71,94.6,97.73,97.73,0
8/1/1992,97.35,93.62,97.35,93.62,0
9/1/1992,94.15,94.15,97.52,97.04,0
10/1/1992,96.13,95.76,102.09,102.09,0
11/1/1992,102.68,102.53,104.71,104.71,0
12/1/1992,104.44,104.21,108.28,108.28,0
1/1/1993,108.28,107.44,113.46,113.19,0
2/1/1993,114.19,112.35,116.57,115.24,0
3/1/1993,115.76,115.76,123.69,123.69,0
4/1/1993,123.64,117.41,123.64,118.49,0
5/1/1993,118.34,117.83,119.91,118.71,0
6/1/1993,118.59,117.06,118.87,118.85,0
7/1/1993,119.08,118.85,122.89,121.48,0
8/1/1993,121.44,121.28,126.71,126.71,0
9/1/1993,127.09,125.67,131.93,131.93,0
10/1/1993,133.25,128.79,133.48,128.79,0
11/1/1993,129.2,119.01,129.2,123.88,0
12/1/1993,125.59,123.49,128.9,125.47,0
1/1/1994,124.4,124.4,130.27,130.27,0
2/1/1994,130.51,128.9,132.23,131.04,0
3/1/1994,130.02,123.53,131.62,123.53,0
4/1/1994,123.53,121.85,124.94,124.82,0
5/1/1994,124.92,124.92,129.32,129.05,0
6/1/1994,129.08,122.99,130.46,123.83,0
7/1/1994,124.16,121.53,127.71,122.99,0
8/1/1994,124.89,122.81,125.33,125.19,0
9/1/1994,124.97,120.29,126.31,121.74,0
10/1/1994,119.97,117.16,121.06,117.49,0
11/1/1994,116.44,111.73,116.44,112.27,0
12/1/1994,112.6,110.97,118.81,118.81,0
1/1/1995,118.6,116.77,118.78,116.92,0
2/1/1995,117.27,117.27,121.68,120.81,0
3/1/1995,122.02,120.04,123.14,121.31,0
4/1/1995,122.81,118.96,122.81,121.22,0
5/1/1995,120.32,120.23,125.95,123.9,0
6/1/1995,124.44,124.18,127.43,125.22,0
7/1/1995,126.04,124.44,127.14,126.44,0
8/1/1995,126.53,125.22,127.66,127.66,0
9/1/1995,127.94,127.94,133.89,133.21,0
10/1/1995,129.69,125.33,132.04,125.33,0
11/1/1995,125.34,124.08,127.72,126.68,0
12/1/1995,127.11,127.11,134.46,134.46,0
1/1/1996,132.27,132.02,136.43,134.77,0
2/1/1996,134.81,134,138.48,135.39,0
3/1/1996,136,133.69,138.49,136.36,0
4/1/1996,134.65,130.3,136.27,134.3,0
5/1/1996,134.67,133.39,138.85,137.65,0
6/1/1996,138.65,136.74,139.74,139.67,0
7/1/1996,138.62,134.28,139.46,138.19,0
8/1/1996,139.51,139.51,145.19,145.19,0
9/1/1996,145.19,144.39,147.83,146.78,0
10/1/1996,146.9,146.9,150.41,149.69,0
11/1/1996,150.45,150.45,155.62,155.62,0
12/1/1996,155.62,155.46,169.11,169.11,0
1/1/1997,169.11,164.52,170.52,169.3,0
2/1/1997,169.87,168.89,172.88,169.33,0
3/1/1997,170.95,167.59,176.92,167.59,0
4/1/1997,166.8,159.73,166.92,163.15,0
5/1/1997,163.44,163.44,170.35,170.29,0
6/1/1997,170.29,168.56,178.88,175.37,0
7/1/1997,176.74,176.31,185.94,182.33,0
8/1/1997,182.33,177.67,185.1,181.24,0
9/1/1997,179.15,179.15,193.8,193.8,0
10/1/1997,195.72,181.8,200.4,184.46,0
11/1/1997,187.43,179.76,189.43,189.21,0
12/1/1997,188.02,182.87,191.3,189.41,0
1/1/1998,189.41,184.54,193.25,192.21,0
2/1/1998,192.21,186.13,193.68,190.63,0
3/1/1998,190.63,182.39,192,187.98,0
4/1/1998,188.06,178.71,192.81,181.36,0
5/1/1998,184.11,176.79,188.39,183.93,0
6/1/1998,178.57,169.04,182.43,174.51,0
