Date,Close*,High,Low,Open,Adj Close**,Volume
3/26/2024,1305.95,1317.02,1305.88,1313.86,1305.95,414600
3/25/2024,1307.94,1320.9,1307.94,1313.32,1307.94,375700
3/22/2024,1311.59,1329.5,1311.39,1328.74,1311.59,380900
3/21/2024,1327.71,1331.14,1319.35,1319.35,1327.71,489400
3/20/2024,1312.59,1318.56,1286.52,1288.01,1312.59,467900
3/19/2024,1291.26,1294.22,1278.09,1279.04,1291.26,433700
3/18/2024,1282.45,1291.63,1281.83,1288.97,1282.45,480400
3/15/2024,1287.74,1290.25,1274.5,1278.09,1287.74,1475800
3/14/2024,1281.5,1299.01,1273.03,1299.01,1281.5,490900
3/13/2024,1302.3,1310.02,1298.91,1299.61,1302.3,462000
3/12/2024,1300.92,1306.24,1294.15,1303.88,1300.92,426500
3/11/2024,1304.52,1310.08,1298.85,1307.16,1304.52,409900
3/8/2024,1310.75,1328.69,1307.39,1319.15,1310.75,446700
3/7/2024,1312.08,1317.03,1308.72,1308.72,1312.08,480600
3/6/2024,1301.73,1307.92,1296.66,1305.79,1301.73,519300
3/5/2024,1297.9,1308.43,1294.57,1298.65,1297.9,479600
3/4/2024,1303.68,1315.83,1301.85,1310.93,1303.68,509700
3/1/2024,1311.08,1311.71,1296.02,1305.94,1311.08,546600
2/29/2024,1305.07,1316.08,1298.51,1304.78,1305.07,640300
2/28/2024,1296.76,1305.24,1292.54,1296.42,1296.76,575000
2/27/2024,1306.16,1308.7,1301.7,1301.7,1306.16,499200
2/26/2024,1295.74,1302.57,1291.02,1293.09,1295.74,462400
2/23/2024,1295.48,1301.54,1286.21,1291.63,1295.48,419900
2/22/2024,1291.6,1293.75,1284.51,1288.22,1291.6,500900
2/21/2024,1287.81,1289.74,1279.53,1287.63,1287.81,465200
2/20/2024,1291.41,1297.62,1288.79,1296.49,1291.41,487300
2/16/2024,1312.31,1315.69,1302.86,1313.64,1312.31,217800
2/15/2024,1320.14,1321.68,1295.8,1295.8,1320.14,582600
2/14/2024,1289.15,1291.68,1270.43,1276.99,1289.15,478300
2/13/2024,1264.45,1284.68,1254.82,1283.09,1264.45,623400
2/12/2024,1311,1316.12,1290.61,1290.61,1311,494500
2/9/2024,1288.34,1289.36,1270.33,1276.29,1288.34,457400
2/8/2024,1273.96,1274.42,1253.86,1257.21,1273.96,465300
2/7/2024,1257.53,1262.51,1251.36,1261.38,1257.53,484000
