Date, Close, High, Low, Open
1/3/2000,1455.22,1478,1438.36,1455.22
1/4/2000,1399.42,1455.22,1397.43,1399.42
1/5/2000,1402.11,1413.27,1377.68,1402.11
1/6/2000,1403.45,1411.9,1392.02,1403.45
1/7/2000,1441.47,1441.47,1400.53,1441.47
1/10/2000,1457.6,1464.36,1441.47,1457.6
1/11/2000,1438.56,1458.85,1434.42,1438.56
1/12/2000,1432.25,1445.29,1427.32,1432.25
1/13/2000,1449.68,1454.6,1432.25,1449.68
1/14/2000,1465.15,1473,1449.68,1465.15
1/18/2000,1455.14,1465.15,1451.25,1455.14
1/19/2000,1455.9,1462.23,1448.65,1455.9
1/20/2000,1445.57,1465.56,1438.56,1445.57
1/21/2000,1441.36,1452.75,1439.54,1441.36
1/24/2000,1401.53,1454.25,1395.42,1401.53
1/25/2000,1410.03,1414.26,1388.49,1410.03
1/26/2000,1404.09,1412.53,1400.14,1404.09
1/27/2000,1398.56,1418.95,1380.54,1398.56
1/28/2000,1360.16,1398.56,1356.14,1360.16
1/31/2000,1394.46,1394.48,1350.14,1394.46
2/1/2000,1409.28,1412.59,1384.75,1409.28
2/2/2000,1409.12,1420.53,1403.2,1409.12
2/3/2000,1424.97,1426.06,1398.54,1424.97
2/4/2000,1424.37,1436.01,1420.53,1424.37
2/7/2000,1424.24,1427.23,1413.33,1424.24
2/8/2000,1441.72,1442.02,1424.24,1441.72
2/9/2000,1411.7,1444.38,1411.64,1411.7
2/10/2000,1416.83,1422.01,1406.37,1416.83
2/11/2000,1387.12,1416.95,1379.15,1387.12
2/14/2000,1389.94,1394.55,1380.62,1389.94
2/15/2000,1402.05,1407.81,1376.21,1402.05
2/16/2000,1387.67,1404.72,1385.58,1387.67
2/17/2000,1388.26,1399.83,1380.07,1388.26
2/18/2000,1346.09,1388.26,1345.29,1346.09
2/22/2000,1352.17,1358.11,1331.97,1352.17
2/23/2000,1360.69,1370.12,1342.42,1360.69
2/24/2000,1353.43,1364.49,1329.9,1353.43
2/25/2000,1333.36,1362.12,1329.12,1333.36
2/28/2000,1348.05,1360.82,1325.02,1348.05
2/29/2000,1366.42,1369.51,1348.05,1366.42
3/1/2000,1379.19,1383,1366.42,1379.19
3/2/2000,1381.76,1386.91,1370.32,1381.76
3/3/2000,1409.17,1410.88,1381.76,1409.17
3/6/2000,1391.28,1409.81,1384.79,1391.28
3/7/2000,1355.62,1399.57,1349.6,1355.62
3/8/2000,1366.7,1373.59,1346.5,1366.7
3/9/2000,1401.69,1401.82,1357.85,1401.69
3/10/2000,1395.07,1413.38,1392.07,1395.07
3/13/2000,1383.62,1398.45,1365.31,1383.62
3/14/2000,1359.15,1395.33,1359.14,1359.15
3/15/2000,1392.15,1397.99,1356.99,1392.15
3/16/2000,1458.47,1458.47,1392.15,1458.47
3/17/2000,1464.47,1476.64,1453.2,1464.47
3/20/2000,1456.63,1470.23,1448.43,1456.63
3/21/2000,1493.87,1493.93,1446.04,1493.87
3/22/2000,1500.64,1505.04,1487.4,1500.64
3/23/2000,1527.35,1532.13,1493.76,1527.35
3/24/2000,1527.46,1553.11,1516.85,1527.46
3/27/2000,1523.86,1534.66,1518.62,1523.86
3/28/2000,1507.73,1527.2,1507.2,1507.73
3/29/2000,1508.52,1521.36,1497.32,1508.52
3/30/2000,1487.92,1517.43,1474.63,1487.92
3/31/2000,1498.58,1519.77,1484.53,1498.58
4/3/2000,1505.97,1507.08,1487.09,1505.97
4/4/2000,1494.73,1526.22,1417.22,1494.73
4/5/2000,1487.37,1506.55,1478.06,1487.37
4/6/2000,1501.34,1511.76,1487.37,1501.34
4/7/2000,1516.35,1518.48,1501.34,1516.35
4/10/2000,1504.46,1527.11,1503.02,1504.46
4/11/2000,1500.59,1512.8,1486.88,1500.59
4/12/2000,1467.17,1510.59,1466.15,1467.17
4/13/2000,1440.51,1477.36,1440.34,1440.51
4/14/2000,1356.56,1440.51,1339.4,1356.56
4/17/2000,1401.44,1401.48,1346.68,1401.44
4/18/2000,1441.61,1441.61,1397.61,1441.61
4/19/2000,1427.47,1447.69,1425.26,1427.47
4/20/2000,1434.54,1435.43,1421.98,1434.54
4/24/2000,1429.86,1434.54,1407.15,1429.86
4/25/2000,1477.44,1477.67,1429.86,1477.44
4/26/2000,1460.99,1482.81,1457.27,1460.99
4/27/2000,1464.92,1469.14,1434.85,1464.92
4/28/2000,1452.43,1473.42,1448.48,1452.43
5/1/2000,1468.25,1481.43,1452.43,1468.25
5/2/2000,1446.29,1468.25,1445.14,1446.29
5/3/2000,1415.1,1446.29,1398.36,1415.1
5/4/2000,1409.57,1420.51,1404.98,1409.57
5/5/2000,1432.63,1435.87,1405.16,1432.63
5/8/2000,1424.17,1432.63,1416.92,1424.17
5/9/2000,1412.14,1429.81,1401.86,1412.14
5/10/2000,1383.05,1412.14,1375.21,1383.05
5/11/2000,1407.81,1410.25,1383.05,1407.81
5/12/2000,1420.96,1430.2,1407.81,1420.96
5/15/2000,1452.36,1452.36,1417.05,1452.36
5/16/2000,1466.04,1470.4,1450.76,1466.04
5/17/2000,1447.8,1466.04,1441.63,1447.8
5/18/2000,1437.21,1457.96,1436.65,1437.21
5/19/2000,1406.95,1437.21,1401.76,1406.95
5/22/2000,1400.72,1410.32,1368.62,1400.72
5/23/2000,1373.86,1403.77,1373.43,1373.86
5/24/2000,1399.05,1401.41,1361.2,1399.05
5/25/2000,1381.52,1411.89,1373.99,1381.52
5/26/2000,1378.02,1391.55,1369.8,1378.02
5/30/2000,1422.45,1422.45,1377.8,1422.45
5/31/2000,1420.6,1434.56,1415.39,1420.6
6/1/2000,1448.81,1448.81,1420.6,1448.81
6/2/2000,1477.26,1483.43,1448.81,1477.26
6/5/2000,1467.63,1477.26,1464.67,1467.63
6/6/2000,1457.84,1471.32,1454.78,1457.84
6/7/2000,1471.36,1474.57,1455.22,1471.36
6/8/2000,1461.67,1475.64,1456.47,1461.67
6/9/2000,1456.95,1472.66,1454.88,1456.95
6/12/2000,1446,1463.01,1445.99,1446
6/13/2000,1469.44,1470.36,1442.49,1469.44
6/14/2000,1470.54,1483.58,1467.84,1470.54
6/15/2000,1478.73,1482.02,1464.46,1478.73
6/16/2000,1464.46,1480.95,1460.33,1464.46
6/19/2000,1486,1488.98,1459,1486
6/20/2000,1475.95,1487.22,1470.23,1475.95
6/21/2000,1479.13,1482.24,1468.49,1479.13
6/22/2000,1452.18,1479.13,1448.06,1452.18
6/23/2000,1441.48,1459.82,1438.35,1441.48
6/26/2000,1455.31,1462.34,1441.48,1455.31
6/27/2000,1450.55,1463.35,1450.55,1450.55
6/28/2000,1454.82,1467.63,1450.55,1454.82
6/29/2000,1442.39,1455.17,1434.64,1442.39
6/30/2000,1454.6,1454.69,1438.79,1454.6
7/3/2000,1469.54,1469.83,1450.79,1469.54
7/5/2000,1446.23,1469.54,1442.48,1446.23
7/6/2000,1456.67,1461.65,1439.6,1456.67
7/7/2000,1478.9,1485.15,1456.67,1478.9
7/10/2000,1475.62,1486.5,1474.73,1475.62
7/11/2000,1480.88,1488.88,1470.47,1480.88
7/12/2000,1492.92,1497.48,1480.88,1492.92
7/13/2000,1495.84,1501.39,1489.65,1495.84
7/14/2000,1509.98,1509.98,1494.67,1509.98
7/17/2000,1510.49,1517.24,1505.33,1510.49
7/18/2000,1493.74,1510.49,1491.41,1493.74
7/19/2000,1481.96,1495.55,1479.76,1481.96
7/20/2000,1495.57,1501.88,1481.96,1495.57
7/21/2000,1480.19,1495.57,1477.95,1480.19
7/24/2000,1464.29,1485.85,1463.81,1464.29
7/25/2000,1474.47,1476.26,1464.29,1474.47
7/26/2000,1452.42,1474.47,1452.42,1452.42
7/27/2000,1449.62,1464.75,1445.3,1449.62
7/28/2000,1419.89,1456.35,1414.16,1419.89
7/31/2000,1430.83,1437.63,1418.26,1430.83
8/1/2000,1438.1,1443.52,1428.84,1438.1
8/2/2000,1438.7,1451.58,1433.54,1438.7
8/3/2000,1452.56,1454.35,1426.05,1452.56
8/4/2000,1462.93,1462.93,1451.46,1462.93
8/7/2000,1479.32,1480.89,1460.79,1479.32
8/8/2000,1482.8,1484.52,1472.61,1482.8
8/9/2000,1472.87,1490.33,1471.16,1472.87
8/10/2000,1460.25,1475.15,1459.89,1460.25
8/11/2000,1471.84,1475.6,1452.91,1471.84
8/14/2000,1491.56,1491.58,1468.6,1491.56
8/15/2000,1484.43,1493.04,1482.85,1484.43
8/16/2000,1479.85,1494.73,1475.81,1479.85
8/17/2000,1496.07,1499.46,1479.85,1496.07
8/18/2000,1491.72,1499.45,1488.94,1491.72
8/21/2000,1499.48,1502.95,1491.12,1499.48
8/22/2000,1498.13,1508.18,1497.56,1498.13
8/23/2000,1505.97,1507.3,1489.39,1505.97
8/24/2000,1508.31,1511.16,1501.3,1508.31
8/25/2000,1506.45,1513.41,1505.16,1506.45
8/28/2000,1514.09,1523.88,1506.46,1514.09
8/29/2000,1509.84,1514.81,1505.46,1509.84
8/30/2000,1502.59,1510.44,1500.08,1502.59
8/31/2000,1517.68,1525.3,1502.59,1517.68
9/1/2000,1520.77,1530.01,1515.6,1520.77
9/5/2000,1507.08,1520.77,1504.21,1507.08
9/6/2000,1492.25,1512.37,1492.19,1492.25
9/7/2000,1502.51,1505.23,1492.25,1502.51
9/8/2000,1494.5,1502.51,1489.93,1494.5
9/11/2000,1489.26,1506.59,1483.03,1489.26
9/12/2000,1481.99,1496.6,1479.93,1481.99
9/13/2000,1484.91,1487.36,1474.03,1484.91
9/14/2000,1480.87,1494.27,1476.77,1480.87
9/15/2000,1465.81,1480.87,1460.54,1465.81
9/18/2000,1444.51,1467.88,1441.76,1444.51
9/19/2000,1459.9,1461.05,1444.51,1459.9
9/20/2000,1451.34,1460.73,1430.95,1451.34
9/21/2000,1449.05,1452.9,1436.19,1449.05
9/22/2000,1448.72,1449.41,1421.88,1448.72
9/25/2000,1439.03,1457.36,1436.08,1439.03
9/26/2000,1427.21,1447.74,1425.29,1427.21
9/27/2000,1426.57,1436.74,1419.54,1426.57
9/28/2000,1458.29,1461.65,1425.79,1458.29
9/29/2000,1436.51,1458.29,1436.48,1436.51
10/2/2000,1436.23,1445.51,1429.75,1436.23
10/3/2000,1426.46,1454.82,1425.28,1426.46
10/4/2000,1434.32,1439.99,1416.31,1434.32
10/5/2000,1436.28,1444.17,1431.8,1436.28
10/6/2000,1408.99,1443.3,1397.06,1408.99
10/9/2000,1402.03,1409.69,1392.48,1402.03
10/10/2000,1387.02,1408.83,1383.85,1387.02
10/11/2000,1364.59,1387.02,1349.67,1364.59
10/12/2000,1329.78,1374.93,1329.06,1329.78
10/13/2000,1374.17,1374.17,1326.81,1374.17
10/16/2000,1374.62,1379.48,1365.06,1374.62
10/17/2000,1349.97,1380.99,1342.34,1349.97
10/18/2000,1342.13,1356.65,1305.79,1342.13
10/19/2000,1388.76,1389.93,1342.13,1388.76
10/20/2000,1396.93,1408.47,1382.19,1396.93
10/23/2000,1395.78,1406.96,1387.75,1395.78
10/24/2000,1398.13,1415.64,1388.13,1398.13
10/25/2000,1364.9,1398.13,1362.21,1364.9
10/26/2000,1364.44,1372.72,1337.77,1364.44
10/27/2000,1379.58,1384.57,1364.13,1379.58
10/30/2000,1398.66,1406.36,1376.86,1398.66
10/31/2000,1429.4,1432.22,1398.66,1429.4
11/1/2000,1421.22,1429.6,1410.45,1421.22
11/2/2000,1428.32,1433.27,1421.13,1428.32
11/3/2000,1426.69,1433.21,1420.92,1426.69
11/6/2000,1432.19,1438.46,1427.72,1432.19
11/7/2000,1431.87,1436.22,1423.26,1431.87
11/8/2000,1409.28,1437.28,1408.78,1409.28
11/9/2000,1400.14,1409.28,1369.68,1400.14
11/10/2000,1365.98,1400.14,1365.97,1365.98
11/13/2000,1351.26,1365.98,1328.62,1351.26
11/14/2000,1382.95,1390.06,1351.26,1382.95
11/15/2000,1389.81,1395.96,1374.75,1389.81
11/16/2000,1372.32,1394.68,1370.4,1372.32
11/17/2000,1367.72,1384.85,1355.55,1367.72
11/20/2000,1342.62,1367.72,1341.67,1342.62
11/21/2000,1347.35,1355.87,1333.62,1347.35
11/22/2000,1322.36,1347.35,1321.89,1322.36
11/24/2000,1341.77,1343.83,1322.36,1341.77
11/27/2000,1348.97,1362.5,1341.77,1348.97
11/28/2000,1336.09,1358.81,1334.97,1336.09
11/29/2000,1341.91,1352.38,1329.28,1341.91
11/30/2000,1314.95,1341.91,1294.9,1314.95
12/1/2000,1315.23,1334.67,1307.02,1315.23
12/4/2000,1324.97,1332.06,1310.23,1324.97
12/5/2000,1376.54,1376.56,1324.97,1376.54
12/6/2000,1351.46,1376.54,1346.15,1351.46
12/7/2000,1343.55,1353.5,1339.26,1343.55
12/8/2000,1369.89,1380.33,1343.55,1369.89
12/11/2000,1380.2,1389.05,1364.14,1380.2
12/12/2000,1371.18,1380.27,1370.27,1371.18
12/13/2000,1359.99,1385.82,1358.48,1359.99
12/14/2000,1340.93,1359.99,1340.48,1340.93
12/15/2000,1312.15,1340.93,1305.38,1312.15
12/18/2000,1322.74,1332.32,1312.15,1322.74
12/19/2000,1305.6,1346.44,1305.2,1305.6
12/20/2000,1264.74,1305.6,1261.16,1264.74
12/21/2000,1274.86,1285.31,1254.07,1274.86
12/22/2000,1305.97,1305.97,1274.86,1305.97
12/26/2000,1315.19,1315.94,1301.64,1315.19
12/27/2000,1328.92,1332.03,1310.96,1328.92
12/28/2000,1334.22,1335.93,1325.78,1334.22
12/29/2000,1320.28,1340.1,1317.51,1320.28
1/2/2001,1283.27,1320.28,1276.05,1283.27
1/3/2001,1347.56,1347.76,1274.62,1347.56
1/4/2001,1333.34,1350.24,1329.14,1333.34
1/5/2001,1298.35,1334.77,1294.95,1298.35
1/8/2001,1295.86,1298.35,1276.29,1295.86
1/9/2001,1300.8,1311.72,1295.14,1300.8
1/10/2001,1313.27,1313.76,1287.28,1313.27
1/11/2001,1326.82,1332.19,1309.72,1326.82
1/12/2001,1318.32,1333.21,1311.59,1318.32
1/16/2001,1326.65,1327.81,1313.33,1326.65
1/17/2001,1329.47,1346.92,1325.41,1329.47
1/18/2001,1347.97,1352.71,1327.41,1347.97
1/19/2001,1342.54,1354.55,1336.74,1342.54
1/22/2001,1342.9,1353.62,1333.84,1342.9
1/23/2001,1360.4,1362.9,1339.63,1360.4
1/24/2001,1364.3,1369.75,1357.28,1364.3
1/25/2001,1357.51,1367.35,1354.63,1357.51
1/26/2001,1354.95,1357.51,1342.75,1354.95
1/29/2001,1364.17,1365.54,1350.36,1364.17
1/30/2001,1373.73,1375.68,1356.2,1373.73
1/31/2001,1366.01,1383.37,1364.66,1366.01
2/1/2001,1373.47,1373.5,1359.34,1373.47
2/2/2001,1349.47,1376.38,1348.72,1349.47
2/5/2001,1354.31,1354.56,1344.48,1354.31
2/6/2001,1352.26,1363.55,1350.04,1352.26
2/7/2001,1340.89,1352.26,1334.26,1340.89
2/8/2001,1332.53,1350.32,1332.42,1332.53
2/9/2001,1314.76,1332.53,1309.98,1314.76
2/12/2001,1330.31,1330.96,1313.64,1330.31
2/13/2001,1318.8,1336.62,1317.51,1318.8
2/14/2001,1315.92,1320.73,1304.72,1315.92
2/15/2001,1326.61,1331.29,1315.92,1326.61
2/16/2001,1301.53,1326.61,1293.18,1301.53
2/20/2001,1278.94,1307.16,1278.44,1278.94
2/21/2001,1255.27,1282.97,1253.16,1255.27
