Ex/EFF Date,Type,Cash Amount,Declaration Date,Record Date,Payment Date
3/15/2024,Cash,1.59,1/5/2024,3/18/2024,4/30/2024
12/15/2023,Cash,1.91,1/19/2023,12/18/2023,1/31/2024
9/15/2023,Cash,1.58,1/19/2023,9/18/2023,10/31/2023
6/16/2023,Cash,1.64,1/19/2023,6/20/2023,7/31/2023
3/17/2023,Cash,1.51,1/19/2023,3/20/2023,4/28/2023
12/16/2022,Cash,1.78,1/24/2022,12/19/2022,1/31/2023
9/16/2022,Cash,1.60,1/24/2022,9/19/2022,10/31/2022
6/17/2022,Cash,1.58,1/24/2022,6/21/2022,7/29/2022
3/18/2022,Cash,1.37,1/24/2022,3/21/2022,4/29/2022
12/17/2021,Cash,1.64,1/22/2021,12/20/2021,1/31/2022
9/17/2021,Cash,1.43,9/16/2021,9/20/2021,10/29/2021
6/18/2021,Cash,1.38,1/22/2021,6/21/2021,7/30/2021
3/19/2021,Cash,1.28,1/22/2021,3/22/2021,4/30/2021
12/18/2020,Cash,1.58,1/16/2020,12/21/2020,1/29/2021
9/18/2020,Cash,1.34,1/16/2020,9/21/2020,10/30/2020
6/19/2020,Cash,1.37,1/16/2020,6/22/2020,7/31/2020
3/20/2020,Cash,1.41,1/16/2020,3/23/2020,4/30/2020
12/20/2019,Cash,1.57,1/10/2019,12/23/2019,1/31/2020
9/20/2019,Cash,1.38,1/10/2019,9/23/2019,10/31/2019
6/21/2019,Cash,1.43,1/10/2019,6/24/2019,7/31/2019
3/15/2019,Cash,1.23,1/10/2019,3/18/2019,4/30/2019
12/21/2018,Cash,1.44,1/6/2018,12/24/2018,1/31/2019
9/21/2018,Cash,1.32,1/6/2018,9/24/2018,10/31/2018
6/15/2018,Cash,1.25,1/6/2018,6/18/2018,7/31/2018
3/16/2018,Cash,1.10,1/6/2018,3/19/2018,4/30/2018
12/15/2017,Cash,1.35,12/14/2017,12/18/2017,1/31/2018
9/15/2017,Cash,1.23,9/14/2017,9/18/2017,10/31/2017
6/16/2017,Cash,1.18,6/15/2017,6/20/2017,7/31/2017
3/17/2017,Cash,1.03,3/16/2017,3/21/2017,4/28/2017
12/16/2016,Cash,1.33,12/15/2016,12/20/2016,1/31/2017
9/16/2016,Cash,1.08,9/15/2016,9/20/2016,10/31/2016
6/17/2016,Cash,1.08,6/16/2016,6/21/2016,7/29/2016
3/18/2016,Cash,1.05,3/17/2016,3/22/2016,4/29/2016
12/18/2015,Cash,1.21,12/17/2015,12/22/2015,1/29/2016
9/18/2015,Cash,1.03,9/17/2015,9/22/2015,10/30/2015
6/19/2015,Cash,1.03,6/18/2015,6/23/2015,7/31/2015
3/20/2015,Cash,0.93,3/19/2015,3/24/2015,4/30/2015
12/19/2014,Cash,1.13,12/18/2014,12/23/2014,1/30/2015
9/19/2014,Cash,0.94,9/18/2014,9/23/2014,10/31/2014
6/20/2014,Cash,0.94,6/19/2014,6/24/2014,7/31/2014
3/21/2014,Cash,0.82,3/20/2014,3/25/2014,4/30/2014
12/20/2013,Cash,0.98,12/19/2013,12/24/2013,1/31/2014
9/20/2013,Cash,0.84,9/19/2013,9/24/2013,10/31/2013
6/21/2013,Cash,0.84,6/20/2013,6/25/2013,7/31/2013
3/15/2013,Cash,0.69,3/14/2013,3/19/2013,4/30/2013
12/21/2012,Cash,1.02,12/20/2012,12/26/2012,1/31/2013
6/15/2012,Cash,0.69,6/14/2012,6/19/2012,7/31/2012
3/16/2012,Cash,0.61,3/15/2012,3/20/2012,4/30/2012
12/16/2011,Cash,0.77,12/15/2011,12/20/2011,1/31/2012
9/16/2011,Cash,0.62,9/15/2011,9/20/2011,10/31/2011
6/17/2011,Cash,0.63,6/16/2011,6/21/2011,7/29/2011
3/18/2011,Cash,0.55,3/17/2011,3/22/2011,4/29/2011
12/17/2010,Cash,0.65,12/16/2010,12/21/2010,1/31/2011
9/17/2010,Cash,0.60,9/16/2010,9/21/2010,10/29/2010
