Ex/EFF Date,Type,Cash Amount,Declaration Date,Record Date,Payment Date
4/1/2024,Cash,0.29,11/22/2023,4/2/2024,4/5/2024
3/1/2024,Cash,0.29,2/29/2024,3/4/2024,3/7/2024
2/1/2024,Cash,0.29,1/31/2024,2/2/2024,2/7/2024
12/14/2023,Cash,0.28,11/23/2022,12/15/2023,12/20/2023
12/1/2023,Cash,0.27,11/23/2022,12/4/2023,12/7/2023
11/1/2023,Cash,0.28,11/23/2022,11/2/2023,11/7/2023
10/2/2023,Cash,0.26,11/23/2022,10/3/2023,10/6/2023
9/1/2023,Cash,0.26,11/23/2022,9/5/2023,9/8/2023
8/1/2023,Cash,0.26,11/23/2022,8/2/2023,8/7/2023
7/3/2023,Cash,0.25,11/23/2022,7/5/2023,7/10/2023
6/1/2023,Cash,0.26,11/23/2022,6/2/2023,6/7/2023
5/1/2023,Cash,0.25,11/23/2022,5/2/2023,5/5/2023
4/3/2023,Cash,0.25,11/23/2022,4/4/2023,4/7/2023
3/1/2023,Cash,0.23,11/23/2022,3/2/2023,3/7/2023
2/1/2023,Cash,0.25,11/23/2022,2/2/2023,2/7/2023
12/15/2022,Cash,0.23,12/13/2021,12/16/2022,12/21/2022
12/1/2022,Cash,0.23,12/13/2021,12/2/2022,12/7/2022
11/1/2022,Cash,0.22,12/13/2021,11/2/2022,11/7/2022
10/3/2022,Cash,0.21,12/13/2021,10/4/2022,10/7/2022
9/1/2022,Cash,0.20,12/13/2021,9/2/2022,9/8/2022
8/1/2022,Cash,0.20,12/13/2021,8/2/2022,8/5/2022
7/1/2022,Cash,0.19,12/13/2021,7/5/2022,7/8/2022
6/1/2022,Cash,0.19,12/13/2021,6/2/2022,6/7/2022
5/2/2022,Cash,0.18,12/13/2021,5/3/2022,5/6/2022
4/1/2022,Cash,0.16,12/13/2021,4/4/2022,4/7/2022
3/1/2022,Cash,0.16,12/13/2021,3/2/2022,3/7/2022
2/1/2022,Cash,0.16,12/13/2021,2/2/2022,2/7/2022
12/16/2021,Cash,0.12,12/28/2020,12/17/2021,12/22/2021
12/1/2021,Cash,0.16,12/7/2020,12/2/2021,12/7/2021
11/1/2021,Cash,0.18,10/29/2021,11/2/2021,11/5/2021
10/1/2021,Cash,0.18,12/7/2020,10/4/2021,10/7/2021
9/1/2021,Cash,0.17,12/7/2020,9/2/2021,9/8/2021
8/2/2021,Cash,0.17,7/30/2021,8/3/2021,8/6/2021
7/1/2021,Cash,0.16,12/7/2020,7/2/2021,7/8/2021
6/1/2021,Cash,0.17,12/7/2020,6/2/2021,6/7/2021
5/3/2021,Cash,0.17,12/7/2020,5/4/2021,5/7/2021
4/1/2021,Cash,0.17,12/7/2020,4/5/2021,4/8/2021
3/1/2021,Cash,0.19,12/7/2020,3/2/2021,3/5/2021
2/1/2021,Cash,0.19,12/7/2020,2/2/2021,2/5/2021
12/17/2020,Cash,0.13,12/11/2019,12/18/2020,12/23/2020
12/1/2020,Cash,0.21,12/11/2019,12/2/2020,12/7/2020
11/2/2020,Cash,0.19,12/11/2019,11/3/2020,11/6/2020
10/1/2020,Cash,0.20,12/11/2019,10/2/2020,10/7/2020
9/1/2020,Cash,0.20,12/11/2019,9/2/2020,9/8/2020
8/3/2020,Cash,0.21,12/11/2019,8/4/2020,8/7/2020
7/1/2020,Cash,0.22,12/11/2019,7/2/2020,7/8/2020
6/1/2020,Cash,0.21,12/11/2019,6/2/2020,6/5/2020
5/1/2020,Cash,0.24,12/11/2019,5/4/2020,5/7/2020
4/1/2020,Cash,0.25,12/11/2019,4/2/2020,4/7/2020
3/2/2020,Cash,0.24,12/11/2019,3/3/2020,3/6/2020
2/3/2020,Cash,0.24,12/11/2019,2/4/2020,2/7/2020
12/19/2019,Cash,0.19,12/18/2018,12/20/2019,12/26/2019
12/2/2019,Cash,0.25,12/18/2018,12/3/2019,12/6/2019
11/1/2019,Cash,0.25,12/14/2018,11/4/2019,11/7/2019
10/1/2019,Cash,0.26,12/14/2018,10/2/2019,10/7/2019
9/3/2019,Cash,0.26,12/14/2018,9/4/2019,9/9/2019
8/1/2019,Cash,0.26,12/14/2018,8/2/2019,8/7/2019
7/1/2019,Cash,0.25,12/14/2018,7/2/2019,7/8/2019
6/3/2019,Cash,0.26,12/14/2018,6/4/2019,6/7/2019
5/1/2019,Cash,0.26,12/14/2018,5/2/2019,5/7/2019
4/1/2019,Cash,0.26,12/14/2018,4/2/2019,4/5/2019
3/1/2019,Cash,0.27,12/14/2018,3/4/2019,3/7/2019
2/1/2019,Cash,0.27,12/14/2018,2/4/2019,2/7/2019
12/18/2018,Cash,0.21,1/3/2018,12/19/2018,12/24/2018
12/3/2018,Cash,0.25,1/3/2018,12/4/2018,12/7/2018
11/1/2018,Cash,0.26,1/3/2018,11/2/2018,11/7/2018
10/1/2018,Cash,0.25,1/3/2018,10/2/2018,10/5/2018
9/4/2018,Cash,0.23,1/3/2018,9/5/2018,9/10/2018
8/1/2018,Cash,0.25,1/3/2018,8/2/2018,8/7/2018
7/2/2018,Cash,0.23,1/3/2018,7/3/2018,7/9/2018
6/1/2018,Cash,0.25,1/3/2018,6/4/2018,6/7/2018
5/1/2018,Cash,0.24,1/3/2018,5/2/2018,5/7/2018
4/2/2018,Cash,0.24,1/3/2018,4/3/2018,4/6/2018
3/1/2018,Cash,0.24,1/3/2018,3/2/2018,3/7/2018
2/1/2018,Cash,0.24,1/3/2018,2/2/2018,2/7/2018
12/21/2017,Cash,0.04,12/20/2017,12/22/2017,12/28/2017
12/1/2017,Cash,0.23,11/30/2017,12/4/2017,12/7/2017
11/1/2017,Cash,0.23,10/31/2017,11/2/2017,11/7/2017
10/2/2017,Cash,0.23,9/29/2017,10/3/2017,10/6/2017
9/1/2017,Cash,0.23,8/31/2017,9/6/2017,9/8/2017
8/1/2017,Cash,0.23,7/31/2017,8/3/2017,8/7/2017
7/3/2017,Cash,0.23,6/30/2017,7/6/2017,7/10/2017
6/1/2017,Cash,0.23,5/31/2017,6/5/2017,6/7/2017
5/1/2017,Cash,0.24,4/28/2017,5/3/2017,5/5/2017
4/3/2017,Cash,0.22,3/31/2017,4/5/2017,4/7/2017
3/1/2017,Cash,0.22,2/28/2017,3/3/2017,3/7/2017
2/1/2017,Cash,0.22,1/31/2017,2/3/2017,2/7/2017
12/22/2016,Cash,0.25,12/21/2016,12/27/2016,12/29/2016
12/1/2016,Cash,0.20,11/30/2016,12/5/2016,12/7/2016
11/1/2016,Cash,0.21,10/31/2016,11/3/2016,11/7/2016
10/3/2016,Cash,0.20,9/30/2016,10/5/2016,10/7/2016
9/1/2016,Cash,0.21,8/31/2016,9/6/2016,9/8/2016
8/1/2016,Cash,0.21,7/29/2016,8/3/2016,8/5/2016
7/1/2016,Cash,0.21,6/30/2016,7/6/2016,7/8/2016
6/1/2016,Cash,0.22,5/31/2016,6/3/2016,6/7/2016
5/2/2016,Cash,0.21,4/29/2016,5/4/2016,5/6/2016
4/1/2016,Cash,0.22,3/31/2016,4/5/2016,4/7/2016
3/1/2016,Cash,0.22,2/29/2016,3/3/2016,3/7/2016
2/1/2016,Cash,0.23,1/29/2016,2/3/2016,2/5/2016
12/24/2015,Cash,0.22,12/23/2015,12/29/2015,12/31/2015
12/1/2015,Cash,0.21,11/30/2015,12/3/2015,12/7/2015
11/2/2015,Cash,0.21,10/30/2015,11/4/2015,11/6/2015
10/1/2015,Cash,0.21,9/30/2015,10/5/2015,10/7/2015
9/1/2015,Cash,0.22,8/31/2015,9/3/2015,9/8/2015
8/3/2015,Cash,0.21,7/31/2015,8/5/2015,8/7/2015
7/1/2015,Cash,0.22,6/30/2015,7/6/2015,7/8/2015
6/1/2015,Cash,0.21,5/29/2015,6/3/2015,6/5/2015
5/1/2015,Cash,0.21,4/30/2015,5/5/2015,5/7/2015
4/1/2015,Cash,0.21,3/31/2015,4/6/2015,4/8/2015
3/2/2015,Cash,0.19,2/27/2015,3/4/2015,3/6/2015
2/2/2015,Cash,0.18,1/30/2015,2/4/2015,2/6/2015
12/24/2014,Cash,0.37,12/23/2014,12/29/2014,12/31/2014
12/1/2014,Cash,0.19,11/28/2014,12/3/2014,12/5/2014
11/3/2014,Cash,0.19,10/31/2014,11/5/2014,11/7/2014
10/1/2014,Cash,0.19,9/30/2014,10/3/2014,10/7/2014
9/2/2014,Cash,0.19,8/29/2014,9/4/2014,9/8/2014
8/1/2014,Cash,0.20,7/31/2014,8/5/2014,8/7/2014
7/1/2014,Cash,0.20,6/30/2014,7/3/2014,7/8/2014
6/2/2014,Cash,0.21,5/30/2014,6/4/2014,6/6/2014
5/1/2014,Cash,0.20,,5/5/2014,5/7/2014
4/1/2014,Cash,0.20,3/31/2014,4/3/2014,4/7/2014
3/3/2014,Cash,0.20,2/28/2014,3/5/2014,3/7/2014
2/3/2014,Cash,0.21,1/31/2014,2/5/2014,2/7/2014
12/26/2013,Cash,0.21,12/24/2013,12/30/2013,1/2/2014
12/2/2013,Cash,0.19,11/29/2013,12/4/2013,12/6/2013
11/1/2013,Cash,0.19,10/31/2013,11/5/2013,11/7/2013
10/1/2013,Cash,0.19,9/30/2013,10/3/2013,10/7/2013
9/3/2013,Cash,0.20,8/30/2013,9/5/2013,9/9/2013
8/1/2013,Cash,0.20,7/31/2013,8/5/2013,8/7/2013
7/1/2013,Cash,0.20,6/28/2013,7/3/2013,7/8/2013
6/3/2013,Cash,0.20,,6/5/2013,6/7/2013
5/1/2013,Cash,0.20,4/30/2013,5/3/2013,5/7/2013
4/1/2013,Cash,0.26,3/28/2013,4/3/2013,4/5/2013
3/1/2013,Cash,0.21,2/28/2013,3/5/2013,3/7/2013
2/1/2013,Cash,0.21,1/31/2013,2/5/2013,2/7/2013
12/26/2012,Cash,0.23,12/24/2012,12/28/2012,1/2/2013
12/3/2012,Cash,0.22,11/30/2012,12/5/2012,12/7/2012
11/1/2012,Cash,0.24,10/31/2012,11/5/2012,11/7/2012
10/1/2012,Cash,0.21,9/28/2012,10/3/2012,10/5/2012
9/4/2012,Cash,0.22,8/31/2012,9/6/2012,9/10/2012
8/1/2012,Cash,0.22,7/31/2012,8/3/2012,8/7/2012
7/2/2012,Cash,0.22,6/29/2012,7/5/2012,7/9/2012
6/1/2012,Cash,0.24,5/31/2012,6/5/2012,6/7/2012
5/1/2012,Cash,0.23,4/30/2012,5/3/2012,5/7/2012
4/2/2012,Cash,0.24,3/30/2012,4/4/2012,4/9/2012
3/1/2012,Cash,0.28,2/29/2012,3/5/2012,3/7/2012
2/1/2012,Cash,0.27,1/31/2012,2/3/2012,2/7/2012
12/27/2011,Cash,0.03,12/23/2011,12/29/2011,1/4/2012
12/1/2011,Cash,0.24,11/30/2011,12/5/2011,12/7/2011
11/1/2011,Cash,0.29,10/31/2011,11/3/2011,11/7/2011
10/3/2011,Cash,0.22,9/30/2011,10/5/2011,10/7/2011
9/1/2011,Cash,0.23,8/31/2011,9/6/2011,9/8/2011
8/1/2011,Cash,0.30,7/29/2011,8/3/2011,8/5/2011
7/1/2011,Cash,0.30,6/30/2011,7/6/2011,7/8/2011
6/1/2011,Cash,0.31,5/31/2011,6/3/2011,6/7/2011
5/2/2011,Cash,0.32,4/29/2011,5/4/2011,5/6/2011
4/1/2011,Cash,0.31,3/31/2011,4/5/2011,4/7/2011
3/1/2011,Cash,0.28,2/28/2011,3/3/2011,3/7/2011
2/1/2011,Cash,0.32,1/31/2011,2/3/2011,2/7/2011
12/28/2010,Cash,0.34,12/27/2010,12/30/2010,1/4/2011
12/1/2010,Cash,0.29,11/30/2010,12/3/2010,12/7/2010
11/1/2010,Cash,0.28,10/29/2010,11/3/2010,11/5/2010
10/1/2010,Cash,0.26,9/30/2010,10/5/2010,10/7/2010
9/1/2010,Cash,0.30,8/31/2010,9/3/2010,9/8/2010
8/2/2010,Cash,0.29,7/30/2010,8/4/2010,8/6/2010
7/1/2010,Cash,0.31,6/30/2010,7/6/2010,7/8/2010
6/1/2010,Cash,0.32,5/28/2010,6/3/2010,6/7/2010
5/3/2010,Cash,0.31,4/30/2010,5/5/2010,5/7/2010
4/1/2010,Cash,0.32,3/31/2010,4/6/2010,4/8/2010
3/1/2010,Cash,0.32,2/26/2010,3/3/2010,3/5/2010
2/1/2010,Cash,0.33,1/29/2010,2/3/2010,2/5/2010
12/29/2009,Cash,0.30,12/28/2009,12/31/2009,1/5/2010
12/1/2009,Cash,0.35,11/30/2009,12/3/2009,12/7/2009
11/2/2009,Cash,0.32,10/30/2009,11/4/2009,11/6/2009
10/1/2009,Cash,0.34,9/30/2009,10/5/2009,10/7/2009
9/1/2009,Cash,0.33,8/31/2009,9/3/2009,9/8/2009
8/3/2009,Cash,0.33,,8/5/2009,8/7/2009
7/1/2009,Cash,0.34,6/30/2009,7/6/2009,7/8/2009
6/1/2009,Cash,0.31,5/29/2009,6/3/2009,6/5/2009
5/1/2009,Cash,0.33,4/30/2009,5/5/2009,5/7/2009
4/1/2009,Cash,0.35,3/31/2009,4/3/2009,4/7/2009
3/2/2009,Cash,0.33,2/27/2009,3/4/2009,3/6/2009
2/2/2009,Cash,0.37,1/30/2009,2/4/2009,2/6/2009
12/29/2008,Cash,0.38,12/26/2008,12/31/2008,1/2/2009
12/1/2008,Cash,0.40,,12/3/2008,12/5/2008
11/3/2008,Cash,0.40,,11/5/2008,11/7/2008
10/1/2008,Cash,0.39,,10/3/2008,10/7/2008
9/2/2008,Cash,0.39,,9/4/2008,9/8/2008
8/1/2008,Cash,0.40,,8/5/2008,8/7/2008
7/1/2008,Cash,0.38,,7/3/2008,7/8/2008
6/2/2008,Cash,0.39,,6/4/2008,6/6/2008
5/1/2008,Cash,0.33,,5/5/2008,5/7/2008
4/1/2008,Cash,0.42,,4/3/2008,4/7/2008
3/3/2008,Cash,0.38,,3/5/2008,3/7/2008
2/1/2008,Cash,0.41,,2/5/2008,2/7/2008
12/27/2007,Cash,0.41,,12/31/2007,1/3/2008
12/3/2007,Cash,0.41,,12/5/2007,12/7/2007
11/1/2007,Cash,0.42,,11/5/2007,11/7/2007
10/1/2007,Cash,0.41,,10/3/2007,10/5/2007
9/4/2007,Cash,0.43,,9/6/2007,9/10/2007
8/1/2007,Cash,0.43,,8/3/2007,8/7/2007
7/2/2007,Cash,0.42,,7/5/2007,7/9/2007
6/1/2007,Cash,0.43,,6/5/2007,6/7/2007
5/1/2007,Cash,0.38,,5/3/2007,5/7/2007
4/2/2007,Cash,0.39,,4/4/2007,4/9/2007
3/1/2007,Cash,0.39,,3/5/2007,3/7/2007
2/1/2007,Cash,0.39,,2/5/2007,2/7/2007
12/27/2006,Cash,0.37,,12/29/2006,1/5/2007
12/1/2006,Cash,0.40,,12/5/2006,12/7/2006
11/1/2006,Cash,0.42,,11/3/2006,11/7/2006
10/2/2006,Cash,0.41,,10/4/2006,10/6/2006
9/1/2006,Cash,0.39,,9/6/2006,9/8/2006
8/1/2006,Cash,0.41,,8/3/2006,8/7/2006
7/3/2006,Cash,0.39,,7/6/2006,7/10/2006
6/1/2006,Cash,0.38,,6/5/2006,6/7/2006
5/1/2006,Cash,0.37,,5/3/2006,5/5/2006
4/3/2006,Cash,0.38,,4/5/2006,4/7/2006
3/1/2006,Cash,0.37,,3/3/2006,3/7/2006
2/1/2006,Cash,0.37,,2/3/2006,2/7/2006
12/28/2005,Cash,0.38,,12/30/2005,1/6/2006
