Date,Price,Open,High,Low,Vol.,Change %
1/3/2000,0.9743,0.994,0.9949,0.9723,,-1.84%
1/4/2000,0.97,0.9756,0.9793,0.9665,,-0.44%
1/5/2000,0.9693,0.9711,0.9721,0.9607,,-0.07%
1/6/2000,0.9688,0.9681,0.9738,0.9598,,-0.05%
1/7/2000,0.9717,0.9683,0.9753,0.9671,,0.30%
1/10/2000,0.9753,0.9713,0.9792,0.97,,0.37%
1/11/2000,0.9675,0.9747,0.9763,0.9668,,-0.80%
1/12/2000,0.9698,0.9681,0.9747,0.9636,,0.24%
1/13/2000,0.9751,0.9697,0.9771,0.9689,,0.55%
1/14/2000,0.9874,0.9744,0.9888,0.9727,,1.26%
1/17/2000,0.9881,0.9872,0.9932,0.9849,,0.07%
1/18/2000,0.9872,0.9878,0.9929,0.9852,,-0.09%
1/19/2000,0.9879,0.9863,0.9919,0.9832,,0.07%
1/20/2000,0.9829,0.9865,0.9929,0.9811,,-0.51%
1/21/2000,0.9909,0.9828,0.9951,0.9803,,0.81%
1/24/2000,0.9924,0.9974,1.0002,0.9921,,0.15%
1/25/2000,0.9993,0.9923,1.0016,0.9898,,0.70%
1/26/2000,0.9992,0.9985,1.0008,0.9941,,-0.01%
1/27/2000,1.0116,0.9982,1.0137,0.9967,,1.24%
1/28/2000,1.0259,1.0121,1.0273,1.0101,,1.41%
1/31/2000,1.0313,1.0224,1.0339,1.0171,,0.53%
2/1/2000,1.0282,1.0304,1.0343,1.0221,,-0.30%
2/2/2000,1.0242,1.029,1.0318,1.0193,,-0.39%
2/3/2000,1.0095,1.0241,1.0303,1.0049,,-1.44%
2/4/2000,1.017,1.0091,1.026,1.0052,,0.74%
2/7/2000,1.0194,1.0165,1.0253,1.0165,,0.24%
2/8/2000,1.0145,1.0188,1.0221,1.0083,,-0.48%
2/9/2000,1.006,1.0142,1.0151,1.0029,,-0.84%
2/10/2000,1.015,1.005,1.0172,1.0033,,0.89%
2/11/2000,1.0133,1.0148,1.0221,1.012,,-0.17%
2/14/2000,1.0219,1.0136,1.0229,1.007,,0.85%
2/15/2000,1.019,1.0217,1.0244,1.0137,,-0.28%
2/16/2000,1.0135,1.019,1.0215,1.0124,,-0.54%
2/17/2000,1.0122,1.0135,1.0168,1.0041,,-0.13%
2/18/2000,1.0137,1.012,1.0198,1.0094,,0.15%
2/21/2000,1.0128,1.0154,1.0162,1.0108,,-0.09%
2/22/2000,0.9961,0.9959,0.9961,0.9959,,-1.65%
2/23/2000,0.9965,0.9959,0.999,0.9907,,0.04%
2/24/2000,1.0067,0.9962,1.0114,0.9953,,1.02%
2/25/2000,1.0266,1.0069,1.0285,1.0069,,1.98%
2/28/2000,1.0284,1.0256,1.064,1.0256,,0.18%
2/29/2000,1.0367,1.0288,1.0396,1.0131,,0.81%
3/1/2000,1.027,1.0366,1.0389,1.0234,,-0.94%
3/2/2000,1.0368,1.0272,1.0404,1.0206,,0.95%
3/3/2000,1.0415,1.0363,1.0431,1.0327,,0.45%
3/6/2000,1.0426,1.0441,1.046,1.0336,,0.11%
3/7/2000,1.0423,1.0425,1.0496,1.0384,,-0.03%
3/8/2000,1.0408,1.0433,1.0503,1.0381,,-0.14%
3/9/2000,1.0349,1.04,1.0423,1.0306,,-0.57%
3/10/2000,1.0383,1.0342,1.0419,1.0315,,0.33%
3/13/2000,1.0366,1.0385,1.04,1.0274,,-0.16%
3/14/2000,1.0328,1.0375,1.0427,1.0323,,-0.37%
3/15/2000,1.0335,1.0324,1.0379,1.0292,,0.07%
3/16/2000,1.0293,1.0341,1.0366,1.0263,,-0.41%
3/17/2000,1.0284,1.031,1.0356,1.0274,,-0.09%
3/20/2000,1.0274,1.0277,1.0328,1.0256,,-0.10%
3/21/2000,1.0373,1.0271,1.0381,1.0262,,0.96%
3/22/2000,1.0402,1.0399,1.0444,1.0373,,0.28%
3/23/2000,1.0289,1.0407,1.0418,1.0276,,-1.09%
3/24/2000,1.0232,1.029,1.0338,1.0225,,-0.55%
3/27/2000,1.0345,1.0232,1.0381,1.0209,,1.10%
3/28/2000,1.041,1.0338,1.0419,1.0304,,0.63%
3/29/2000,1.0509,1.0411,1.0553,1.0409,,0.95%
3/30/2000,1.0406,1.0513,1.0516,1.0389,,-0.98%
3/31/2000,1.0459,1.0399,1.0497,1.038,,0.51%
4/3/2000,1.0471,1.0455,1.0528,1.0408,,0.11%
4/4/2000,1.0411,1.0481,1.0512,1.0251,,-0.57%
4/5/2000,1.0395,1.0399,1.0424,1.0293,,-0.15%
4/6/2000,1.0438,1.041,1.0457,1.0365,,0.41%
4/7/2000,1.047,1.0433,1.0484,1.0393,,0.31%
4/10/2000,1.0385,1.0473,1.0487,1.0383,,-0.81%
4/11/2000,1.0427,1.0387,1.0459,1.0357,,0.40%
4/12/2000,1.043,1.0429,1.0504,1.0411,,0.03%
4/13/2000,1.0499,1.0426,1.0513,1.0416,,0.66%
4/14/2000,1.0393,1.0494,1.0515,1.0386,,-1.01%
4/17/2000,1.0501,1.0366,1.0508,1.0334,,1.04%
4/18/2000,1.0573,1.0499,1.0594,1.0494,,0.69%
4/19/2000,1.0631,1.0578,1.0688,1.053,,0.55%
4/20/2000,1.0663,1.0633,1.0694,1.0602,,0.30%
4/21/2000,1.0657,1.0658,1.0681,1.0635,,-0.06%
4/24/2000,1.0655,1.0655,1.0673,1.0579,,-0.02%
4/25/2000,1.0856,1.0648,1.0912,1.0636,,1.89%
4/26/2000,1.0826,1.0854,1.0901,1.0806,,-0.28%
4/27/2000,1.099,1.0812,1.1041,1.0808,,1.51%
4/28/2000,1.0959,1.0977,1.1075,1.0935,,-0.28%
5/1/2000,1.0917,1.0961,1.1025,1.0892,,-0.38%
5/2/2000,1.0987,1.0917,1.1071,1.0887,,0.64%
5/3/2000,1.1159,1.0985,1.1255,1.0977,,1.57%
5/4/2000,1.1225,1.1163,1.1305,1.1141,,0.59%
5/5/2000,1.1151,1.1221,1.1235,1.1093,,-0.66%
5/8/2000,1.1143,1.1153,1.1218,1.105,,-0.07%
5/9/2000,1.1019,1.1147,1.118,1.101,,-1.11%
5/10/2000,1.1026,1.1,1.1052,1.0949,,0.06%
5/11/2000,1.1092,1.1066,1.1125,1.0973,,0.60%
5/12/2000,1.0873,1.1084,1.114,1.0865,,-1.97%
5/15/2000,1.0974,1.0897,1.0978,1.0873,,0.93%
5/16/2000,1.1109,1.1019,1.1117,1.0975,,1.23%
5/17/2000,1.117,1.1101,1.125,1.1064,,0.55%
5/18/2000,1.118,1.1171,1.1235,1.114,,0.09%
5/19/2000,1.1149,1.1172,1.1309,1.111,,-0.28%
5/22/2000,1.1075,1.1132,1.1168,1.1019,,-0.66%
5/23/2000,1.1017,1.1077,1.1089,1.0917,,-0.52%
5/24/2000,1.1071,1.1023,1.108,1.0949,,0.49%
5/25/2000,1.0956,1.1072,1.1141,1.0943,,-1.04%
5/26/2000,1.0737,1.0947,1.0976,1.0701,,-2.00%
5/29/2000,1.0792,1.0723,1.0828,1.0708,,0.51%
5/30/2000,1.0755,1.0785,1.0819,1.0621,,-0.34%
5/31/2000,1.0662,1.0753,1.0803,1.0653,,-0.86%
6/1/2000,1.0736,1.0669,1.0775,1.0652,,0.69%
6/2/2000,1.0566,1.0727,1.0755,1.0515,,-1.58%
6/5/2000,1.0549,1.0565,1.0625,1.0526,,-0.16%
6/6/2000,1.0477,1.0561,1.0584,1.0411,,-0.68%
6/7/2000,1.0395,1.0482,1.0493,1.0379,,-0.78%
6/8/2000,1.0459,1.0389,1.052,1.0304,,0.62%
6/9/2000,1.0491,1.0473,1.0575,1.0446,,0.31%
6/12/2000,1.0488,1.049,1.054,1.0455,,-0.03%
6/13/2000,1.0427,1.0483,1.0503,1.0358,,-0.58%
6/14/2000,1.044,1.043,1.0452,1.0354,,0.12%
6/15/2000,1.0479,1.0444,1.0526,1.0407,,0.37%
6/16/2000,1.036,1.0476,1.0534,1.0351,,-1.14%
6/19/2000,1.045,1.0376,1.0457,1.031,,0.87%
6/20/2000,1.0476,1.0449,1.0494,1.039,,0.25%
6/21/2000,1.0589,1.0478,1.0606,1.0471,,1.08%
6/22/2000,1.0682,1.0578,1.0701,1.0549,,0.88%
6/23/2000,1.0684,1.0684,1.0712,1.0601,,0.02%
6/26/2000,1.0673,1.0678,1.076,1.0639,,-0.10%
6/27/2000,1.0572,1.0669,1.0692,1.0556,,-0.95%
6/28/2000,1.0619,1.0571,1.0645,1.0553,,0.44%
6/29/2000,1.0505,1.0617,1.0625,1.0482,,-1.07%
6/30/2000,1.0498,1.0515,1.0522,1.041,,-0.07%
7/3/2000,1.0522,1.0501,1.0548,1.047,,0.23%
7/4/2000,1.0516,1.0519,1.0568,1.0499,,-0.06%
7/5/2000,1.0488,1.0505,1.052,1.0441,,-0.27%
7/6/2000,1.052,1.049,1.0534,1.0414,,0.31%
7/7/2000,1.0544,1.0515,1.0573,1.0494,,0.23%
7/10/2000,1.0468,1.0543,1.0551,1.0456,,-0.72%
7/11/2000,1.05,1.0469,1.0535,1.045,,0.31%
7/12/2000,1.0611,1.0503,1.0649,1.0493,,1.06%
7/13/2000,1.067,1.062,1.0728,1.0607,,0.56%
7/14/2000,1.0657,1.0671,1.0734,1.0646,,-0.12%
7/17/2000,1.0666,1.065,1.0708,1.0634,,0.08%
7/18/2000,1.0817,1.0675,1.0837,1.0668,,1.42%
7/19/2000,1.0817,1.0808,1.0881,1.0791,,0.00%
7/20/2000,1.0717,1.0812,1.0872,1.0695,,-0.92%
7/21/2000,1.0673,1.0714,1.0736,1.0654,,-0.41%
7/24/2000,1.0709,1.0672,1.0741,1.0659,,0.34%
7/25/2000,1.0657,1.0704,1.0729,1.0599,,-0.49%
7/26/2000,1.0601,1.0658,1.0663,1.058,,-0.53%
7/27/2000,1.073,1.0597,1.0734,1.0583,,1.22%
7/28/2000,1.083,1.0731,1.0846,1.0701,,0.93%
7/31/2000,1.0796,1.0817,1.0848,1.0756,,-0.31%
8/1/2000,1.0939,1.0784,1.0954,1.0761,,1.32%
8/2/2000,1.095,1.0931,1.0974,1.0874,,0.10%
8/3/2000,1.1027,1.0941,1.1119,1.0892,,0.70%
8/4/2000,1.1013,1.1023,1.1098,1.0984,,-0.13%
8/7/2000,1.102,1.1019,1.1049,1.0971,,0.06%
8/8/2000,1.1086,1.1016,1.113,1.0999,,0.60%
8/9/2000,1.1094,1.1074,1.1159,1.1066,,0.07%
8/10/2000,1.1014,1.1094,1.1107,1.0989,,-0.72%
8/11/2000,1.108,1.101,1.1083,1.0931,,0.60%
8/14/2000,1.1042,1.1062,1.1113,1.1024,,-0.34%
8/15/2000,1.0958,1.1035,1.1043,1.0937,,-0.76%
8/16/2000,1.0915,1.0954,1.1035,1.0887,,-0.39%
8/17/2000,1.0913,1.0912,1.0974,1.0896,,-0.02%
8/18/2000,1.1031,1.0911,1.104,1.0885,,1.08%
8/21/2000,1.1086,1.1023,1.1104,1.101,,0.50%
8/22/2000,1.115,1.1082,1.1182,1.1058,,0.58%
8/23/2000,1.1097,1.1142,1.123,1.1085,,-0.48%
8/24/2000,1.1084,1.1074,1.1126,1.1044,,-0.12%
8/25/2000,1.1084,1.1085,1.1139,1.1018,,0.00%
8/28/2000,1.1113,1.1078,1.113,1.105,,0.26%
8/29/2000,1.1207,1.1114,1.1229,1.1078,,0.85%
8/30/2000,1.1179,1.1206,1.1277,1.1171,,-0.25%
8/31/2000,1.1254,1.1172,1.1315,1.1141,,0.67%
9/1/2000,1.1115,1.125,1.1269,1.1086,,-1.24%
9/4/2000,1.1139,1.111,1.1157,1.1056,,0.22%
9/5/2000,1.124,1.1136,1.1305,1.1115,,0.91%
9/6/2000,1.1495,1.1235,1.1515,1.1232,,2.27%
9/7/2000,1.1465,1.1471,1.158,1.1403,,-0.26%
9/8/2000,1.1544,1.1463,1.1581,1.1426,,0.69%
9/11/2000,1.1656,1.1566,1.1675,1.1459,,0.97%
9/12/2000,1.1578,1.1643,1.1696,1.1501,,-0.67%
